"Full Name",Position,"20-Yard Shuttle","3-Cone Drill","40-Yard Dash","Broad Jump","Vertical Jump","Bench Press"
"A.J. Bouye",CB,4.04,7.06,4.60,125,36.5,-
"Aarion Penton",CB,4.60,7.19,4.66,122,32.5,-
"Adairius Barnes",CB,4.08,6.82,4.60,126,41.5,-
"Adam Jones",CB,-,-,4.43,-,38.5,-
"Adoree' Jackson",CB,4.09,6.63,4.42,122,36.0,-
"Ahkello Witherspoon",CB,4.13,6.93,4.45,127,40.5,-
"Akeem King",CB,4.39,7.08,4.48,122,37.5,-
"Al-Hajj Shabazz",CB,4.59,7.16,4.68,125,35.0,-
"Alex Brown",CB,4.33,7.20,4.49,131,41.5,-
"Alex Carter",CB,4.07,7.05,4.51,121,40.0,-
"Alexander Myres",CB,4.18,7.07,4.58,130,36.5,-
"Alijah Holder",CB,4.15,6.70,4.60,121,36.0,-
"Alterraun Verner",CB,4.12,6.70,4.58,116,32.0,-
"Amani Oruwariye",CB,4.16,6.82,4.47,120,36.5,-
"Andre Chachere",CB,4.07,6.78,4.49,123,38.0,-
"Anthony Averett",CB,4.40,6.93,4.36,119,31.5,-
"Anthony Brown",CB,4.19,7.03,4.33,115,35.0,-
"Anthoula Kelly",CB,4.31,7.18,4.49,120,38.5,-
"Antonio Crawford",CB,4.11,6.95,4.56,-,32.5,-
"Antonio Cromartie",CB,3.89,7.02,4.44,132,38.0,-
"Antonio Hamilton",CB,4.27,6.97,4.51,132,38.0,-
"Aqib Talib",CB,4.22,6.82,4.44,131,38.0,-
"Arrion Springs",CB,4.51,7.02,4.51,118,32.0,-
"Arthur Maulet",CB,4.34,7.12,4.62,123,36.5,-
"Artie Burns",CB,4.33,6.96,4.46,124,31.5,-
"Asa Jackson",CB,4.03,6.97,4.49,118,34.5,-
"Ashton Lampkin",CB,4.50,7.26,4.52,120,34.5,-
"B.J. Clay",CB,4.44,6.89,4.44,118,33.0,-
"B.W. Webb",CB,3.84,6.82,4.51,132,40.5,-
"Bashaud Breeland",CB,4.33,7.04,4.62,123,34.5,-
"Bene Benwikere",CB,4.38,6.94,4.63,122,40.5,-
