"Full Name",Position,"Arm Length","Height (Inches)",BMI,"Draft Pick","Draft Year","Hand Size"
"A.J. Bouye",CB,"31 3/4",72,25.2,Undrafted,2013,"9    "
"Aarion Penton",CB,"29 5/8",69,29.2,Undrafted,2017,"9 1/8"
"Aaron Colvin",CB,"31    ",71,24.7,4.14,2014,"9 1/4"
"Adairius Barnes",CB,"30    ",71,25.0,Undrafted,2016,"8 7/8"
"Adam Jones",CB,-,69,27.6,1.06,2005,-
"Adoree' Jackson",CB,"31 3/8",70,26.7,1.18,2017,"9 1/4"
"Ahkello Witherspoon",CB,"33    ",75,24.7,3.02,2017,"9 7/8"
"Akeem King",CB,"31 3/4",73,28.4,7.32,2015,"8 1/2"
"Al-Hajj Shabazz",CB,"32 7/8",73,26.4,Undrafted,2015,"9 3/8"
"Alex Brown",CB,"33    ",70,26.3,Undrafted,2019,"9    "
"Alex Carter",CB,"32 1/8",72,26.6,3.16,2015,"9 1/8"
"Alexander Myres",CB,"30 1/8",71,26.8,Undrafted,2019,"9 1/2"
"Alijah Holder",CB,"32 1/2",73,25.2,Undrafted,2019,"9 1/2"
"Alterraun Verner",CB,"31    ",70,27.1,4.06,2010,"9 1/8"
"Amani Oruwariye",CB,"31 3/8",74,26.3,5.08,2019,"9    "
"Andre Chachere",CB,"31 3/8",72,26.7,Undrafted,2018,"9 7/8"
"Anthony Averett",CB,"30 1/4",71,25.5,4.18,2018,"8 1/2"
"Anthony Brown",CB,"31 3/4",71,26.8,6.14,2016,"8 1/4"
"Anthoula Kelly",CB,"29 7/8",69,26.9,Undrafted,2019,"8 5/8"
"Antonio Crawford",CB,"30    ",70,26.4,Undrafted,2017,"9 3/4"
"Antonio Cromartie",CB,"33    ",74,26.7,1.19,2006,"10    "
"Antonio Hamilton",CB,"30 1/4",72,25.5,Undrafted,2016,"8 1/2"
"Aqib Talib",CB,"32 1/8",73,26.6,1.20,2008,"9 1/8"
"Arrion Springs",CB,"31 1/2",70,29.8,Undrafted,2018,"9    "
"Arthur Maulet",CB,"31 1/4",71,26.5,Undrafted,2017,"9 5/8"
"Artie Burns",CB,"33 1/4",72,26.2,1.25,2016,"9 1/2"
"Asa Jackson",CB,"29 1/8",70,27.4,5.34,2012,"9    "
"Ashton Lampkin",CB,"31    ",72,25.6,Undrafted,2017,"9 3/8"
"B.J. Clay",CB,"31 3/4",72,25.6,Undrafted,2018,"8 3/4"
"B.W. Webb",CB,"30 1/4",70,26.4,4.17,2013,"9 3/8"
"Bashaud Breeland",CB,"31 3/4",71,27.5,4.02,2014,"9    "
"Bene Benwikere",CB,"30    ",71,27.2,5.08,2014,"9 1/8"
"Bennett Jackson",CB,"31 3/8",72,26.4,6.11,2014,"9 1/4"
"Bennett Okotcha",CB,"31 3/8",71,25.9,Undrafted,2016,"9 1/2"
"Blace Brown",CB,"32    ",72,26.3,Undrafted,2019,"9 3/4"
"Blessuan Austin",CB,"32 1/2",73,26.1,6.23,2019,"10    "
"Blidi Wreh-Wilson",CB,"32    ",73,25.7,3.08,2013,"8 5/8"
"Bobby McCain",CB,"30 1/2",69,28.8,5.09,2015,"9    "
"Brad Watson",CB,"31 7/8",72,25.5,Undrafted,2017,"8 1/2"
"Bradley Roby",CB,"31 1/2",71,27.1,1.31,2014,"10 1/4"
"Bradley Sylve",CB,-,71,25.1,Undrafted,2016,-
"Brandon B. Williams",CB,"32 1/2",71,27.5,3.30,2016,"8 5/8"
"Brandon Boykin",CB,"31 1/2",69,26.9,4.28,2012,"9 3/8"
"Brandon Carr",CB,"31    ",72,28.1,5.05,2008,"9    "
"Brandon Dixon",CB,"32 1/2",71,28.3,6.19,2014,"9    "
"Brandon Facyson",CB,"32 5/8",74,26.1,Undrafted,2018,"9 3/4"
"Brandon Flowers",CB,"31    ",70,27.1,2.04,2008,"8 5/8"
"Brandon Watson",CB,"30 5/8",70,29.3,Undrafted,2019,"9 1/2"
"Brendan Langley",CB,"32    ",72,27.3,3.37,2017,"9 1/2"
"Brent Grimes",CB,-,69,26.1,Undrafted,2006,-
"Breon Borders",CB,"30 1/4",71,26.4,Undrafted,2017,"8 1/4"
"Brian Dixon",CB,"32 1/2",72,26.6,Undrafted,2014,"9    "
"Brian Poole",CB,"31    ",70,30.0,Undrafted,2016,"9 1/4"
"Brice McCain",CB,-,69,27.3,6.15,2009,-
"Briean Boddy-Calhoun",CB,"31    ",69,28.5,Undrafted,2016,"9 1/8"
"Bryce Callahan",CB,"30 5/8",69,27.0,Undrafted,2015,"9 1/4"
"Bryce Jones",CB,"30 1/8",71,25.2,Undrafted,2017,"9 1/8"
"Bryson Keeton",CB,-,74,24.4,Undrafted,2016,-
"Buster Skrine",CB,"30 1/4",69,27.5,5.06,2011,"8 7/8"
"Byron Jones",CB,"32    ",73,26.3,1.27,2015,"10    "
"Byron Maxwell",CB,"33 1/2",72,27.4,6.08,2011,"9 1/2"
"Byron Murphy",CB,"30 1/8",71,26.5,2.01,2019,"8 7/8"
"C.J. Goodwin",CB,"31 1/8",73,23.5,Undrafted,2014,"9    "
"C.J. Smith",CB,"32 1/8",71,26.4,Undrafted,2016,"9 1/4"
"Cameron Sutton",CB,"30    ",71,26.2,3.30,2017,"8 1/4"
"Captain Munnerlyn",CB,-,68,27.7,7.07,2009,-
"Carlton Davis",CB,"32 3/4",73,27.2,2.31,2018,"8 7/8"
