"Full Name",Position,"Arm Length","Height (Inches)",BMI,"Draft Pick","Draft Year","Hand Size"
"A'Shawn Robinson",DL,"34 1/2",74,41.3,2.15,2016,"10 1/2"
"A.J. Francis",DL,"33 1/2",77,40.0,Undrafted,2013,"9 1/2"
"Aaron Donald",DL,"32 5/8",73,37.6,1.13,2014,"9 7/8"
"Abry Jones",DL,"35    ",75,39.1,Undrafted,2013,"9 3/4"
"Adam Gotsis",DL,"34 1/8",76,34.9,2.32,2016,"10 3/4"
"Adolphus Washington",DL,"34 1/2",75,37.6,3.17,2016,"9 7/8"
"Ahtyba Rubin",DL,"34 1/2",75,39.4,6.24,2008,"10 1/4"
"Akeem Spence",DL,"33 1/2",73,40.5,4.03,2013,"10    "
"Akiem Hicks",DL,"35 1/8",77,37.7,3.26,2012,"10 1/4"
"Al Woods",DL,"36    ",76,37.6,4.25,2010,"11    "
"Alan Branch",DL,"34 1/8",78,37.4,2.01,2007,"10    "
"Albert Huggins",DL,"33 1/2",75,38.1,Undrafted,2019,"10 5/8"
"Andrew Billings",DL,"33    ",72,42.2,4.24,2016,"10    "
"Andrew Brown",DL,"34 1/2",75,37.0,5.21,2018,"9 3/8"
"Andrew Williams",DL,"34 3/4",76,35.8,Undrafted,2019,"10 5/8"
"Angelo Blackson",DL,"33 3/4",76,38.7,4.01,2015,"9 3/4"
"Anthony Johnson",DL,"33    ",74,39.5,Undrafted,2014,"10 3/8"
"Anthony Nelson",DL,"34 7/8",79,30.5,4.05,2019,"9 7/8"
"Anthony Rush",DL,"33 1/8",76,42.8,Undrafted,2019,"9 1/8"
"Antwaun Woods",DL,"31    ",72,43.1,Undrafted,2016,"9 5/8"
"Arik Armstead",DL,"33    ",79,32.9,1.17,2015,"10 1/2"
"Armon Watts",DL,"33 3/8",77,35.6,6.17,2019,"9 5/8"
"Arthur Jones",DL,"35 1/4",75,40.0,5.26,2010,"10 1/4"
"Austin Johnson",DL,"32 3/4",76,38.2,2.12,2016,"9 7/8"
"Aziz Shittu",DL,"33 3/4",74,37.0,Undrafted,2016,"10 3/8"
"B.J. Hill",DL,"33    ",75,38.9,3.05,2018,"10 5/8"
"B.J. Raji",DL,"32    ",74,43.3,1.09,2009,"10 3/8"
"Beau Allen",DL,"32 1/8",75,40.9,7.09,2014,"10 1/8"
"Bennie Logan",DL,"34    ",74,39.7,3.05,2013,"10 1/4"
"Bilal Nichols",DL,"33 3/8",76,37.2,5.08,2018,"10 1/4"
"Bobby Richardson",DL,"34 5/8",75,35.4,Undrafted,2015,"11    "
