"Full Name",Position,"Arm Length","Hand Size"
"Aaron Green",RB,"30    ","8 5/8"
"Aaron Jones",RB,"32 1/2","9 1/2"
"Aaron Ripkowski",RB,"31 3/4","10 3/8"
"Adrian Peterson",RB,"32 1/4","9 1/2"
"Aeris Williams",RB,"32 1/4","10    "
"Akeem Hunt",RB,"31 1/8","9 5/8"
"Akeem Judd",RB,"31 1/2","9 5/8"
"Akrum Wadley",RB,"29 1/2","8 1/4"
"Alec Ingold",RB,"31 1/2","9 5/8"
"Alex Armah",RB,"32 1/4","9 3/4"
"Alex Barnes",RB,"31    ","10    "
"Alex Collins",RB,"30 1/4","9 1/4"
"Alexander Mattison",RB,"31    ","9 1/8"
"Alfred Blue",RB,"32 3/8","9 7/8"
"Alfred Morris",RB,"31 3/8","10 1/4"
"Alonzo Harris",RB,"33 1/2","10 1/8"
"Alvin Kamara",RB,"32 3/4","9 1/4"
"Ameer Abdullah",RB,"30    ","8 5/8"
"Andre Brown",RB,"32    ","9 1/2"
"Andre Ellington",RB,"31    ","9 3/8"
"Andre Williams",RB,"33 1/2","9    "
"Andy Janovich",RB,"31 5/8","9 3/4"
"Anthony Dixon",RB,"32 1/2","9 3/4"
"Anthony Sherman",RB,"30    ","9 3/8"
"Anthony Wales",RB,"30 1/8","8 1/4"
"Antonio Andrews",RB,"31 1/4","9 1/2"
"Austin Walter",RB,"29 3/8","9 1/4"
"B.J. Catalon",RB,"30    ","9    "
"Ben Malena",RB,"28 3/4","9    "
"Ben Tate",RB,"31 1/4","9    "
"Benny Snell",RB,"31    ","9 3/8"
"Bernard Pierce",RB,"31 1/2","9 1/4"
"Bilal Powell",RB,"30 3/4","8 5/8"
"Bishop Sankey",RB,"31    ","10    "
"Blake Sims",RB,"31 1/2","9    "
"Bo Scarbrough",RB,"33 1/2","10    "
"Bobby Rainey",RB,"30 1/8","8 5/8"
"Boom Williams",RB,"30    ","8 5/8"
"Boston Scott",RB,"29 7/8","9 3/8"
"Bralon Addison",RB,"29 1/2","9 1/8"
"Branden Oliver",RB,"29 1/4","8 7/8"
"Brandon Bolden",RB,"32 1/4","10    "
"Brandon Burks",RB,"29 1/4","8 1/4"
"Brandon Radcliff",RB,"29 1/4","9 1/4"
"Brandon Wegher",RB,"29 3/4","9 3/8"
"Brandon Wilds",RB,"32    ","10 1/4"
"Braylon Heard",RB,"30 1/4","9    "
"Brennan Clay",RB,"30    ","8 7/8"
"Brian Hill",RB,"31 3/8","8 7/8"
"Bronson Hill",RB,"30 1/2","9 7/8"
"Bruce Anderson",RB,"31 1/2","9    "
"Bryce Love",RB,"29 3/8","9 1/8"
"Buddy Howell",RB,"29 1/4","9 3/8"
"Byron Marshall",RB,"30 1/4","9 1/2"
"C.J. Anderson",RB,"30    ","9    "
"C.J. Ham",RB,"31 1/4","9 1/8"
"C.J. Prosise",RB,"32 1/8","8 1/2"
"C.J. Spiller",RB,"30 3/8","10 1/8"
"Cameron Artis-Payne",RB,"29 5/8","8 7/8"
"Carlos Hyde",RB,"32    ","9 5/8"
"Cedric Peerman",RB,"31    ","8    "
"Chandler Cox",RB,"31    ","8 7/8"
"Charcandrick West",RB,"29 7/8","9 1/8"
"Charles Sims",RB,"31    ","8 1/4"
"Chase Edmonds",RB,"31 1/8","9 1/8"
"Chris Carson",RB,"33 1/4","9 5/8"
"Chris Johnson",RB,"30 1/4","7 1/4"
"Chris Ogbonnaya",RB,"31 5/8","9 7/8"
"Chris Polk",RB,"31 1/2","9 3/4"
"Chris Rainey",RB,"30 3/4","9 1/2"
"Chris Thompson",RB,"30 1/4","9 1/4"
"Chris Warren",RB,"32    ","10    "
"Christian McCaffrey",RB,"30    ","9    "
"Christian Powell",RB,"32 1/2","8 7/8"
"Christine Michael",RB,"31 1/2","9 3/8"
"Cierre Wood",RB,"30 7/8","8 5/8"
"Corey Clement",RB,"30 1/2","9 3/4"
"Corey Grant",RB,"30 7/8","8 1/4"
"Cullen Gillaspia",RB,"30 3/4","9 1/8"
"Cyrus Gray",RB,"29 1/2","9 1/8"
"D'Angelo Brewer",RB,"29 1/4","8 7/8"
"D'Ernest Johnson",RB,"31    ","9 5/8"
"D'Onta Foreman",RB,"31 3/8","10 1/8"
"D.J. Adams",RB,"30 1/2","9    "
"D.J. Foster",RB,"30 1/2","9 1/4"
"D.J. Knox",RB,"29 3/4","9    "
"Da'Rel Scott",RB,"32 3/8","9    "
"Dalton Crossan",RB,"28 1/2","9 1/2"
"Dalvin Cook",RB,"33 3/8","9 1/4"
"Dalyn Dawkins",RB,"29    ","8 3/8"
"Damarea Crockett",RB,"32    ","9 5/8"
"Damien Harris",RB,"30 3/4","9 3/4"
"Damien Williams",RB,"30 5/8","9 1/8"
"Dan Herron",RB,"32    ","9    "
"Dan Vitale",RB,"31 3/4","9 3/4"
"Daniel Lasco",RB,"32    ","9 1/8"
"Daniel Thomas",RB,"32 1/4","9    "
"Danny Woodhead",RB,"28 3/8","9 1/8"
"Dare Ogunbowale",RB,"31 3/8","9 1/8"
"Darius Jackson",RB,"31 5/8","8 5/8"
"Darius Victor",RB,"28 3/8","9    "
"Darnell Woolfolk",RB,"30 1/2","9 3/4"
"Darrel Williams",RB,"31    ","9 3/8"
"Darrell Henderson",RB,"31    ","8 5/8"
"Darren McFadden",RB,"32 1/4","9 3/8"
"Darren Sproles",RB,"28    ","8    "
"Darrin Hall",RB,"31 3/4","9 3/4"
"Darrin Reaves",RB,"30    ","8 3/8"
"Darwin Thompson",RB,"29 3/4","8 3/8"
"Daryl Richardson",RB,"30 5/8","9 1/8"
"David Cobb",RB,"31 5/8","9 3/8"
"David Fluellen",RB,"33 3/8","9 1/8"
"David Johnson",RB,"31 1/4","9 5/8"
"David Montgomery",RB,"31 3/8","9 1/4"
"David Williams",RB,"30    ","9 1/8"
"David Wilson",RB,"30 1/4","9 3/8"
"Davin Meggett",RB,"30 1/8","9 1/2"
"De'Angelo Henderson",RB,"29    ","9 1/2"
"De'Lance Turner",RB,"30    ","9    "
"De'Veon Smith",RB,"29 1/2","9    "
"DeAndre Washington",RB,"30    ","9    "
"DeAngelo Williams",RB,"31    ","9 1/8"
"DeMarco Murray",RB,"32    ","9 1/4"
"Dee Hart",RB,"29 3/4","9    "
"Delone Carter",RB,"31    ","9 3/8"
"Demario Richard",RB,"28 3/4","9 1/4"
"Denard Robinson",RB,"32 5/8","9    "
"Derek Watt",RB,"31    ","10 1/8"
"Derrick Henry",RB,"33    ","8 3/4"
"Derrius Guice",RB,"30 3/4","9    "
"Desmond Martin",RB,"30 1/2","9 1/2"
"Detrez Newsome",RB,"31 3/4","9 7/8"
"Devante Mays",RB,"31 3/4","8 5/8"
"Devin Singletary",RB,"28 7/8","8 1/2"
"Devine Ozigbo",RB,"31    ","9 1/4"
"Devine Redding",RB,"29 1/4","9 5/8"
"Devon Johnson",RB,"31 1/4","9 1/4"
"Devonta Freeman",RB,"29 3/8","9 5/8"
"Devontae Booker",RB,"31 5/8","8 5/8"
"Dexter McCluster",RB,"29 1/4","8 3/8"
"Dexter Williams",RB,"32 1/4","9 5/8"
"Dillon Baxter",RB,"30    ","8    "
"Dimitri Flowers",RB,"30 3/4","9 1/4"
"Diocemy Saint Juste",RB,"29    ","9 3/8"
"Dion Lewis",RB,"28 1/8","8 5/8"
"Dominick Bragalone",RB,"29 3/4","9 1/8"
"Dominique Brown",RB,"32 3/8","9 1/2"
"Dominique Williams",RB,"30 3/4","9 1/2"
"Don Jackson",RB,"29 7/8","9    "
"Donald Brown",RB,"31 1/2","9    "
"Donnel Pumphrey",RB,"29    ","8 1/2"
"Dontrell Hilliard",RB,"31 7/8","9 3/4"
"Doug Martin",RB,"30 1/2","9    "
"Dreamius Smith",RB,"30 5/8","9 1/4"
"Dri Archer",RB,"31    ","8 7/8"
"Duke Johnson",RB,"30 3/8","9 1/4"
"Dwayne Washington",RB,"32 3/8","9 7/8"
"Eddie Lacy",RB,"31    ","9 1/2"
"Edwin Baker",RB,"29 5/8","8 1/8"
"Elijah Holyfield",RB,"30 3/8","9    "
"Elijah Hood",RB,"30 3/8","9 3/8"
"Elijah McGuire",RB,"31    ","9    "
"Elijah Wellman",RB,"30 1/8","8 7/8"
"Elijhaa Penny",RB,"30 1/4","9 1/8"
"Evan Royster",RB,"30 5/8","9 1/4"
"Ezekiel Elliott",RB,"31 1/4","10 1/4"
"Felix Jones",RB,"31 1/8","9 1/8"
"Fitzgerald Toussaint",RB,"30 1/2","8 1/2"
"Fozzy Whittaker",RB,"30 3/4","9 1/4"
"George Atkinson III",RB,"33 1/4","9 3/8"
"George Farmer",RB,"33    ","8 5/8"
"George Winn",RB,"30 7/8","9 7/8"
"Giovani Bernard",RB,"28    ","9 3/8"
"Glasco Martin",RB,"32    ","9 1/2"
"Glenn Winston",RB,"31    ","10 3/8"
"Gus Edwards",RB,"32 5/8","9 1/8"
"Gus Johnson",RB,"29 5/8","9 1/8"
"Henry Josey",RB,"30 1/4","9 1/2"
"I'Tavius Mathers",RB,"31    ","9    "
"Isaiah Crowell",RB,"31 3/4","9 1/4"
"Isaiah Pead",RB,"31    ","8 5/8"
"Isaiah Saunders",RB,"30    ","8 7/8"
