"Full Name",Position,"Height (Inches)",BMI,"Draft Pick","Draft Year","20-Yard Shuttle","3-Cone Drill","40-Yard Dash","Bench Press","Broad Jump","Vertical Jump"
"Aaron Green",RB,71,28.3,Undrafted,2016,4.04,6.81,4.61,18,120,32.5
"Aaron Jones",RB,69,30.7,5.39,2017,4.20,6.82,4.56,16,127,37.5
"Aaron Ripkowski",RB,73,32.5,6.30,2015,4.33,7.59,4.75,-,113,33.0
"Adrian Peterson",RB,73,28.6,1.07,2007,4.40,7.09,4.40,-,127,38.5
"Aeris Williams",RB,72,29.2,Undrafted,2019,4.62,7.35,4.85,-,111,28.5
"Ahmad Bradshaw",RB,69,31.6,7.40,2007,4.09,6.70,4.55,-,112,34.0
"Akeem Hunt",RB,70,27.1,Undrafted,2015,4.07,6.71,4.44,14,122,37.5
"Akeem Judd",RB,70,32.3,Undrafted,2017,4.35,7.47,4.59,21,114,32.5
"Akrum Wadley",RB,70,27.8,Undrafted,2018,4.39,-,4.54,12,-,32.0
"Alec Ingold",RB,73,31.9,Undrafted,2019,4.32,7.35,4.89,16,116,34.0
"Alex Armah",RB,74,32.7,6.08,2017,4.29,7.00,4.75,26,122,34.5
"Alex Barnes",RB,72,30.6,Undrafted,2019,4.10,6.95,4.59,34,126,38.5
"Alex Collins",RB,70,31.1,5.34,2016,-,-,4.59,18,113,28.5
"Alexander Mattison",RB,71,30.8,3.38,2019,4.29,7.13,4.67,22,127,35.0
"Alfonso Smith",RB,73,27.4,Undrafted,2010,4.31,7.12,4.43,19,117,36.0
"Alfred Blue",RB,74,28.6,6.05,2014,4.50,7.15,4.63,13,121,32.0
"Alfred Morris",RB,70,31.4,6.03,2012,4.19,7.01,4.67,16,117,35.5
"Alonzo Harris",RB,73,29.0,Undrafted,2015,4.51,7.18,4.71,15,127,36.0
"Alvester Alexander",RB,70,29.6,Undrafted,2012,4.21,6.89,4.44,18,128,36.0
"Alvin Kamara",RB,70,30.7,3.03,2017,4.42,7.17,4.56,15,131,39.5
"Ameer Abdullah",RB,69,30.3,2.22,2015,3.95,6.79,4.60,24,130,42.5
"Andre Brown",RB,72,30.8,4.29,2009,4.28,7.08,4.49,24,115,37.0
"Andre Ellington",RB,69,29.4,6.19,2013,-,-,4.56,-,122,34.0
"Andre Williams",RB,71,32.1,4.13,2014,4.06,7.27,4.56,-,129,38.0
"Andy Janovich",RB,73,31.4,6.01,2016,4.32,7.28,4.81,30,119,34.0
"Anthony Dixon",RB,73,30.7,6.04,2010,4.45,7.09,4.67,15,121,33.0
"Anthony Sherman",RB,70,34.7,5.05,2011,4.41,7.23,4.75,32,111,32.5
"Anthony Wales",RB,69,29.1,Undrafted,2017,4.23,6.83,4.56,13,112,37.5
"Antone Smith",RB,69,28.1,Undrafted,2009,4.32,6.90,4.38,31,122,32.0
"Antonio Andrews",RB,70,32.3,Undrafted,2014,4.49,7.24,4.82,20,106,29.5
"Arian Foster",RB,73,29.6,Undrafted,2009,4.53,7.09,4.74,23,115,32.0
"Austin Ekeler",RB,69,29.4,Undrafted,2017,4.21,6.85,4.48,-,128,40.5
"Austin Johnson",RB,73,31.8,Undrafted,2012,4.37,7.32,4.76,25,106,30.5
"Austin Walter",RB,67,30.4,Undrafted,2019,4.38,7.03,4.59,15,105,31.0
"B.J. Catalon",RB,67,29.1,Undrafted,2015,4.15,6.90,4.57,-,114,36.0
"Ben Malena",RB,68,29.5,Undrafted,2014,4.27,7.19,4.65,22,111,33.5
"Ben Tate",RB,71,30.7,2.26,2010,4.12,6.91,4.43,26,124,40.5
"BenJarvis Green-Ellis",RB,71,31.2,Undrafted,2008,4.50,7.56,4.60,24,116,34.0
"Benny Cunningham",RB,70,30.4,Undrafted,2013,-,-,4.69,26,-,-
"Benny Snell",RB,70,32.1,4.20,2019,4.33,7.07,4.66,16,119,29.5
"Bernard Pierce",RB,72,29.6,3.21,2012,4.28,7.07,4.49,17,123,36.5
"Bilal Powell",RB,70,29.3,4.29,2011,-,-,4.56,18,-,-
"Bishop Sankey",RB,70,30.0,2.22,2014,4.00,6.75,4.49,26,126,35.5
"Blake Sims",RB,71,30.4,Undrafted,2015,4.25,7.15,4.57,-,115,30.5
"Bo Scarbrough",RB,73,30.1,7.18,2018,4.34,-,4.52,14,129,40.0
"Bobby Rainey",RB,68,32.2,Undrafted,2012,4.13,6.61,4.56,24,120,35.5
"Boom Williams",RB,67,29.8,Undrafted,2017,4.18,6.86,4.51,18,121,36.0
"Boston Scott",RB,67,30.5,6.27,2018,4.15,6.67,4.45,21,121,38.5
"Bralon Addison",RB,69,29.1,Undrafted,2016,4.14,6.95,4.66,13,116,34.5
"Branden Oliver",RB,68,31.6,Undrafted,2014,4.22,7.04,4.65,26,117,33.5
"Brandon Bolden",RB,71,30.0,Undrafted,2012,4.44,6.91,4.66,21,119,38.0
"Brandon Burks",RB,69,30.7,Undrafted,2016,4.18,6.88,4.61,24,120,37.0
"Brandon Radcliff",RB,69,30.4,Undrafted,2017,4.38,7.68,4.60,24,117,29.5
"Brandon Wegher",RB,70,30.6,Undrafted,2015,4.43,7.18,4.56,23,118,37.0
"Brandon Wilds",RB,73,29.0,Undrafted,2016,4.33,7.08,4.54,21,118,36.5
"Braylon Heard",RB,70,28.4,Undrafted,2015,4.40,7.19,4.63,19,116,30.5
