"Full Name",Position,BMI,"Draft Pick","Draft Year","Height (Inches)","Arm Length","Hand Size"
"A.J. Brown",WR,30.6,2.19,2019,72,"32 7/8","9 3/4"
"A.J. Green",WR,25.7,1.04,2011,76,"34 3/8","9 1/4"
"A.J. Jenkins",WR,26.0,1.30,2012,72,"32 3/4","9 1/2"
"A.J. Richardson",WR,28.2,Undrafted,2019,71,"30 1/8","9 1/2"
"Aaron Burbridge",WR,27.9,6.38,2016,72,"31 5/8","8 1/4"
"Aaron Dobson",WR,26.2,2.27,2013,75,"33    ","9    "
"Aaron Mellette",WR,27.9,7.32,2013,74,"33 1/8","9 5/8"
"Ace Sanders",WR,27.1,4.04,2013,67,"29 1/2","8 7/8"
"Adam Humphries",WR,27.2,Undrafted,2015,71,"30    ","9 1/4"
"Adam Thielen",WR,25.0,Undrafted,2013,75,-,-
"Adrian Coxson",WR,28.4,Undrafted,2015,73,"31 3/4","9 3/4"
"Ahmad Fulwood",WR,24.6,Undrafted,2017,76,"32    ","9 1/4"
"Alan Bonner",WR,27.7,6.27,2013,70,"30 1/4","9 3/8"
"Albert Wilson",WR,29.8,Undrafted,2014,69,"30 3/8","9 1/8"
"Aldrick Robinson",WR,26.4,6.13,2011,70,"29 1/2","8 3/4"
"Alex Erickson",WR,26.4,Undrafted,2016,72,"30    ","9    "
"Alex Neutz",WR,26.7,Undrafted,2014,75,"32 1/2","9 1/4"
"Alex Wesley",WR,25.8,Undrafted,2019,72,"31 1/4","9    "
"Allen Hurns",WR,27.0,Undrafted,2014,73,"32    ","9 1/4"
"Allen Lazard",WR,28.1,Undrafted,2018,75,"32 1/4","9 3/4"
"Allen Robinson",WR,28.2,2.29,2014,74,"32    ","9 1/2"
"Allenzae Staggers",WR,24.5,Undrafted,2018,72,"31 7/8","8 7/8"
"Alonzo Moore",WR,27.0,Undrafted,2017,72,"31 5/8","9 7/8"
"Alonzo Russell",WR,25.1,Undrafted,2016,76,"33 7/8","9 1/2"
"Alshon Jeffery",WR,27.0,2.13,2012,75,"33    ","10 1/4"
"Amara Darboh",WR,27.5,3.42,2017,74,"32 5/8","9 7/8"
"Amari Cooper",WR,27.8,1.04,2015,73,"31 1/2","10    "
"Amba Etta-Tawo",WR,27.4,Undrafted,2017,73,"32    ","9 1/8"
"Anas Hasic",WR,29.6,Undrafted,2017,71,"31    ","9 1/4"
"Andre Caldwell",WR,27.1,3.34,2008,72,"32 1/4","9    "
"Andre Davis",WR,27.0,Undrafted,2015,73,"33 1/4","9 1/4"
"Andre Debose",WR,26.4,7.04,2015,72,"32 1/4","8 5/8"
"Andre Holmes",WR,27.1,Undrafted,2011,76,"34    ","8 5/8"
"Andre Johnson",WR,28.9,1.03,2003,74,"34    ","9 1/8"
"Andre Levrone",WR,27.0,Undrafted,2018,75,"32    ","9 1/2"
"Andre Patton",WR,25.4,Undrafted,2017,74,"31 7/8","9 3/4"
"Andre Roberts",WR,27.2,3.24,2010,71,"31 1/2","9 1/2"
"Andrew Hawkins",WR,27.4,Undrafted,2011,67,-,-
"Andy Cruse",WR,26.5,Undrafted,2013,75,-,-
"Andy Isabella",WR,27.8,2.30,2019,69,"29 3/4","8 3/8"
"Andy Jones",WR,28.6,Undrafted,2016,73,"32    ","9 3/8"
"Anquan Boldin",WR,29.0,2.22,2003,73,"30    ","9 7/8"
"Anthony Dable",WR,25.5,Undrafted,2016,77,-,-
"Anthony Johnson",WR,26.8,Undrafted,2019,74,"31 3/8","9 3/8"
"Anthony Miller",WR,28.0,2.19,2018,71,"31 5/8","10 5/8"
"Anthony Ratliff-Williams",WR,27.8,Undrafted,2019,72,"30 3/4","9 1/2"
"Anthony Warrum",WR,25.8,Undrafted,2017,72,"30 1/8","9    "
"Antoine Wesley",WR,25.1,Undrafted,2019,76,"34    ","9 3/4"
"Antonio Brown",WR,26.7,6.26,2010,70,"31    ","9    "
"Antonio Callaway",WR,27.9,4.05,2018,71,"31 1/2","9 1/2"
"Antwan Goodley",WR,30.0,Undrafted,2015,70,"30 3/4","9 1/4"
"Antwane Grant",WR,27.4,Undrafted,2016,72,"31    ","9 1/4"
"ArDarius Stewart",WR,28.4,3.15,2017,71,"32 1/2","9 3/8"
"Armon Binns",WR,26.1,Undrafted,2011,75,"32 1/2","9 1/2"
"Arrelious Benn",WR,23.2,Undrafted,2014,74,"33 7/8","7 7/8"
"Artavis Scott",WR,27.7,Undrafted,2017,70,"31 3/8","9 3/8"
"Ashton Dulin",WR,28.4,Undrafted,2019,73,"33 3/8","9    "
"Auden Tate",WR,27.0,7.35,2018,77,"33 3/4","9 3/8"
"Austin Carr",WR,27.4,Undrafted,2017,72,"30    ","9    "
"Austin Collie",WR,27.1,4.27,2009,72,"31    ","9    "
"Austin Duke",WR,25.1,Undrafted,2017,69,"28 5/8","8 5/8"
"Austin Franklin",WR,26.4,Undrafted,2014,71,"31 1/4","10    "
"Austin Hill",WR,27.0,Undrafted,2015,74,"31 5/8","9 1/8"
"Austin Pettis",WR,26.1,3.14,2011,75,"31 3/4","9 3/4"
"Austin Proehl",WR,26.9,7.37,2018,69,"28 7/8","8 1/2"
"Austin Willis",WR,26.0,Undrafted,2015,69,"29 3/8","9 3/8"
"B.J. Cunningham",WR,28.4,6.13,2012,73,"33    ","8 1/8"
"Ben Edwards",WR,28.3,Undrafted,2014,70,"29 3/4","8 1/4"
"Bennie Fowler",WR,28.6,Undrafted,2014,73,"32    ","9 1/2"
"Bernard Reedy",WR,25.8,Undrafted,2014,69,"30    ","9 1/8"
"Blake Jackson",WR,28.6,Undrafted,2017,71,-,-
"Bobo Wilson",WR,27.9,Undrafted,2017,69,"31 3/8","9 3/8"
"Bra'lon Cherry",WR,26.2,Undrafted,2017,71,"30 7/8","8 1/2"
"Brad Smith",WR,27.2,4.06,2006,74,-,-
"Bradley Marquez",WR,28.0,Undrafted,2015,71,"30 1/2","9    "
"Braelon Roberts",WR,25.2,Undrafted,2018,75,"33    ","8 3/8"
"Brandin Cooks",WR,27.1,1.20,2014,70,"30 3/4","9 5/8"
"Brandon Coleman",WR,26.0,Undrafted,2014,78,"34    ","9 1/4"
"Brandon Gibson",WR,28.5,6.21,2009,72,"32    ",-
"Brandon LaFell",WR,27.1,3.14,2010,74,"32 3/4","8 3/4"
"Brandon Lloyd",WR,27.1,4.25,2003,72,"31 1/4","9    "
"Brandon Marshall",WR,28.0,4.22,2006,76,"32 5/8","8 7/8"
"Brandon Powell",WR,27.5,Undrafted,2018,68,"29 1/4","8 7/8"
"Brandon Reilly",WR,25.9,Undrafted,2017,74,"29 1/4","8 7/8"
"Brandon Shippen",WR,27.2,Undrafted,2016,71,"30 3/8","9    "
"Brandon Tate",WR,25.7,3.19,2009,73,"30 3/4",-
"Brandon Zylstra",WR,27.5,Undrafted,2016,74,"31 1/4","9 1/4"
"Braxton Berrios",WR,27.2,6.36,2018,69,"28    ","9 1/4"
"Braxton Miller",WR,26.5,3.22,2016,73,"31 3/4","9 1/8"
"Brelan Chancellor",WR,27.8,Undrafted,2014,69,"30    ","9 5/8"
"Brenton Bersin",WR,26.4,Undrafted,2012,75,"31 1/4",-
"Breshad Perriman",WR,27.2,1.26,2015,74,"32    ","9 1/4"
"Brian Brown",WR,26.9,Undrafted,2017,73,"31 1/8","9    "
"Brian Hartline",WR,25.5,4.08,2009,74,"32    ","10    "
"Brian Quick",WR,27.5,2.01,2012,75,"34 1/4","9 3/4"
"Brian Tyms",WR,25.5,Undrafted,2012,75,"32 2/3",-
"Brice Butler",WR,26.6,7.03,2013,75,"34 1/2","9 3/8"
"Brisly Estime",WR,28.3,Undrafted,2017,68,"29 3/4","8    "
"Brittan Golden",WR,25.9,Undrafted,2012,71,-,-
"Brody Oliver",WR,26.4,Undrafted,2019,75,"31 5/8","9 7/8"
"Bruce Ellington",WR,29.1,4.06,2014,69,"31    ","9 5/8"
"Bryan Walters",WR,25.8,Undrafted,2010,72,-,-
"Bryant Mitchell",WR,24.4,Undrafted,2015,73,"32 3/8","9 1/2"
"Bryce Bobo",WR,26.2,Undrafted,2018,74,"32 7/8","10    "
"Bryce Treggs",WR,26.5,Undrafted,2016,70,"30 7/8","9 1/8"
"Bud Sasser",WR,27.7,6.25,2015,74,"33    ","10 1/8"
"Bug Howard",WR,26.9,Undrafted,2017,76,"33 1/8","10 3/8"
"Byron Pringle",WR,27.0,Undrafted,2018,73,"32    ","9 1/4"
"C.J. Board",WR,23.9,Undrafted,2017,73,"31 1/2","9 1/4"
"Caleb Holley",WR,25.7,Undrafted,2014,74,"31 5/8","9 3/4"
"Caleb Scott",WR,26.1,Undrafted,2018,74,"30 5/8","9    "
"Calvin Johnson",WR,28.0,1.02,2007,77,"33 3/8","9 7/8"
"Calvin Ridley",WR,24.9,1.26,2018,73,"31 5/8","9 1/8"
"Cam Phillips",WR,27.0,Undrafted,2018,72,"30 1/2","8 7/8"
"Cam Sims",WR,25.8,Undrafted,2018,76,"33 1/4","9 5/8"
"Cam Worthy",WR,27.1,Undrafted,2015,74,"33 1/2","10 1/8"
"Cameron Batson",WR,26.6,Undrafted,2018,68,"28 7/8","9    "
"Cameron Meredith",WR,25.0,Undrafted,2015,75,"32 1/8","9 1/4"
"Canaan Severin",WR,27.2,Undrafted,2016,74,"33 1/8","9 3/4"
"Carlos Henderson",WR,27.8,3.18,2017,71,"31 3/8","9 1/8"
"Carlton Agudosi",WR,25.7,Undrafted,2017,77,"35 1/2","9 1/2"
"Cayleb Jones",WR,26.1,Undrafted,2016,75,"32 3/4","9 1/4"
"Cecil Shorts",WR,27.8,4.17,2011,72,"31 5/8","9 1/4"
"Cedrick Wilson",WR,24.1,6.34,2018,74,"31 1/2","9 3/4"
"Chad Beebe",WR,25.5,Undrafted,2018,70,"27 7/8","9 1/8"
"Chad Hansen",WR,25.9,4.35,2017,74,"32 1/8","10 1/8"
"Chad Williams",WR,28.1,3.34,2017,72,"32    ","9 3/4"
"Chance Allen",WR,27.3,Undrafted,2017,73,"32 7/8","9 1/2"
"Chandler Jones",WR,24.3,Undrafted,2014,71,"29 1/2","8 1/2"
"Charles Johnson",WR,27.6,7.10,2013,74,"30 1/2","9 1/4"
"Charone Peake",WR,26.8,7.20,2016,74,"34    ","9 1/4"
"Chester Rogers",WR,25.1,Undrafted,2016,72,"30 1/8","7 1/2"
"Chris Boyd",WR,25.1,Undrafted,2014,76,"32 5/8","9 5/8"
"Chris Brown",WR,24.9,Undrafted,2016,74,"32 1/4","9    "
"Chris Conley",WR,27.3,3.12,2015,74,"33 3/4","9 7/8"
"Chris D. Harper",WR,30.2,4.26,2013,73,"32 3/4","9 3/4"
"Chris Fields",WR,26.9,Undrafted,2014,72,"31    ","8 7/8"
"Chris Givens",WR,27.6,4.01,2012,71,"31 1/4","8 1/4"
"Chris Godwin",WR,27.6,3.20,2017,73,"31 5/8","9 1/8"
"Chris Harper",WR,24.4,Undrafted,2015,72,"31 7/8","9 1/8"
"Chris Hogan",WR,29.0,Undrafted,2012,73,-,-
"Chris Lacy",WR,25.6,Undrafted,2018,75,"31 1/4","9 3/4"
"Chris Matthews",WR,25.8,Undrafted,2011,77,-,-
"Chris Moore",WR,27.2,4.09,2016,73,"33 3/8","9 3/8"
"Chris Owusu",WR,27.1,Undrafted,2012,72,"31 3/4","8 1/2"
"Chris Summers",WR,25.3,Undrafted,2012,77,"32 3/4",-
"Chris Thompson",WR,23.8,Undrafted,2017,71,"31 1/8","9 1/4"
"Chris Williams",WR,26.6,Undrafted,2009,68,-,-
"Christian Blake",WR,24.3,Undrafted,2018,72,"31 5/8","9 3/8"
"Christian Kirk",WR,28.8,2.15,2018,70,"30 3/8","9 7/8"
"Christion Jones",WR,26.1,Undrafted,2015,70,"30    ","9    "
"Chuck Jacobs",WR,24.1,Undrafted,2013,72,"30 3/4","8 1/2"
