"Full Name",Position,Team,"Height (Inches)",BMI,"Draft Year","Draft Pick","20-Yard Shuttle","3-Cone Drill","40-Yard Dash","Broad Jump","Bench Press"
"A.J. Brown",WR,"Tennessee Titans",72,30.6,2019,2.19,4.25,7.00,4.49,120,19
"A.J. Green",WR,"Cincinnati Bengals",76,25.7,2011,1.04,4.21,6.91,4.50,126,18
"A.J. Jenkins",WR,-,72,26.0,2012,1.30,4.12,6.73,4.39,124,12
"A.J. Richardson",WR,"Arizona Cardinals",71,28.2,2019,Undrafted,4.44,7.12,4.62,110,11
"Aaron Burbridge",WR,"Denver Broncos",72,27.9,2016,6.38,4.31,7.22,4.56,115,20
"Aaron Dobson",WR,-,75,26.2,2013,2.27,4.33,7.19,4.42,121,16
"Aaron Mellette",WR,-,74,27.9,2013,7.32,4.41,7.11,4.54,123,9
"Ace Sanders",WR,-,67,27.1,2013,4.04,4.37,6.81,4.58,117,7
"Adam Humphries",WR,"Tennessee Titans",71,27.2,2015,Undrafted,4.32,6.96,4.58,122,14
"Adam Thielen",WR,"Minnesota Vikings",75,25.0,2013,Undrafted,4.49,6.77,4.54,120,-
"Adrian Coxson",WR,-,73,28.4,2015,Undrafted,4.40,7.03,4.51,111,15
"Ahmad Fulwood",WR,-,76,24.6,2017,Undrafted,4.38,7.29,4.56,124,-
"Alan Bonner",WR,-,70,27.7,2013,6.27,4.09,7.04,4.59,117,14
"Albert Wilson",WR,"Miami Dolphins",69,29.8,2014,Undrafted,4.21,7.00,4.43,123,10
"Aldrick Robinson",WR,-,70,26.4,2011,6.13,4.09,6.65,4.43,126,17
"Alex Erickson",WR,"Cincinnati Bengals",72,26.4,2016,Undrafted,4.10,6.68,4.59,116,14
"Alex Neutz",WR,-,75,26.7,2014,Undrafted,4.33,7.14,4.63,117,14
"Alex Wesley",WR,"New York Giants",72,25.8,2019,Undrafted,4.44,7.40,4.45,125,13
"Allen Hurns",WR,"Dallas Cowboys",73,27.0,2014,Undrafted,4.50,7.23,4.55,120,14
"Allen Lazard",WR,"Green Bay Packers",75,28.1,2018,Undrafted,4.33,7.11,4.55,122,17
"Allen Robinson",WR,"Chicago Bears",74,28.2,2014,2.29,4.00,7.00,4.56,127,17
"Allenzae Staggers",WR,-,72,24.5,2018,Undrafted,4.35,7.25,4.58,127,9
"Alonzo Moore",WR,-,72,27.0,2017,Undrafted,4.17,6.79,4.52,119,-
"Alonzo Russell",WR,"New York Giants",76,25.1,2016,Undrafted,4.33,7.18,4.54,112,12
