"Full Name",Position,"20-Yard Shuttle","3-Cone Drill","40-Yard Dash","Broad Jump","Vertical Jump","Bench Press"
"Aaron Lynch",EDGE,4.61,7.46,4.76,117,29.0,18
"Aaron Wallace",EDGE,4.27,7.45,4.64,130,36.0,25
"Adam Butler",EDGE,4.90,7.51,5.28,101,28.5,23
"Ade Aruna",EDGE,4.48,7.53,4.60,128,38.5,18
"Adrian Clayborn",EDGE,4.13,7.30,4.78,113,33.0,17
"Al-Quadin Muhammad",EDGE,4.47,7.25,4.88,117,30.5,22
"Albert McClellan",EDGE,4.21,7.24,4.75,119,36.5,26
"Aldon Smith",EDGE,4.50,7.19,4.74,118,34.0,20
"Alec Heldreth",EDGE,4.59,7.10,4.83,115,30.5,33
"Alex Barrett",EDGE,4.42,7.41,5.02,109,30.0,21
"Alex McCalister",EDGE,4.00,7.01,4.80,128,34.5,-
"Alex Okafor",EDGE,4.43,7.26,4.78,112,31.0,21
"Allen Bailey",EDGE,4.56,7.43,4.71,117,36.5,27
"Amani Bledsoe",EDGE,4.58,7.69,5.00,115,31.0,25
"Andre Branch",EDGE,4.25,7.19,4.67,120,32.5,19
"Anree Saint-Amour",EDGE,-,-,4.83,122,35.0,26
"Anthony Chickillo",EDGE,4.25,7.17,4.79,114,34.5,27
"Anthony Lanier",EDGE,4.46,7.51,4.87,119,28.0,16
"Anthony Winbush",EDGE,4.33,7.27,4.87,110,34.0,25
"Anthony Zettel",EDGE,4.39,7.63,4.81,109,30.5,28
"Antonio Simmons",EDGE,-,-,4.56,117,30.5,30
"Arden Key",EDGE,4.25,7.16,4.93,117,31.0,-
"Armonty Bryant",EDGE,5.00,7.32,4.86,118,31.5,15
"Arthur Miley",EDGE,4.75,7.56,4.86,114,34.0,17
"Avery Moss",EDGE,4.43,7.25,4.79,114,32.5,14
"B.J. Dubose",EDGE,-,-,5.06,-,-,26
"Barkevious Mingo",EDGE,4.39,6.84,4.58,128,37.0,-
"Ben Banogu",EDGE,4.27,7.02,4.62,134,40.0,23
"Benson Mayowa",EDGE,4.26,7.05,4.78,120,37.5,19
"Billy Winn",EDGE,4.44,7.37,4.86,107,27.0,24
"Bjoern Werner",EDGE,4.40,7.30,4.83,111,31.0,25
"Bradley Chubb",EDGE,4.41,7.37,4.65,121,36.0,24
"Branden Jackson",EDGE,4.77,7.40,5.06,113,31.5,20
"Brandon Copeland",EDGE,4.49,7.29,4.77,122,32.5,30
"Brandon Graham",EDGE,4.25,7.01,4.71,111,31.5,31
"Breckyn Hager",EDGE,4.37,7.27,4.92,121,39.5,15
"Breeland Speaks",EDGE,4.65,7.63,4.87,110,32.5,-
"Brennan Scarlett",EDGE,4.64,7.28,4.81,115,31.5,25
"Brian Burns",EDGE,-,7.01,4.53,129,36.0,-
"Brian Orakpo",EDGE,4.45,7.26,4.63,130,39.5,31
"Brian Robison",EDGE,4.26,6.89,4.67,121,40.5,27
"Bronson Kaufusi",EDGE,4.25,7.03,4.87,111,30.0,25
"Brooks Reed",EDGE,4.28,7.11,4.68,113,30.5,30
"Bruce Irvin",EDGE,4.03,6.70,4.41,123,33.5,23
"Bryan Braman",EDGE,4.36,-,4.79,128,39.5,21
"Bryan Cox",EDGE,4.46,7.36,4.89,109,26.5,16
"Bryson Albright",EDGE,4.25,6.87,4.94,121,33.0,18
"Bud Dupree",EDGE,4.47,7.49,4.56,138,42.0,-
"Calais Campbell",EDGE,4.69,7.45,5.04,111,29.5,16
"Cam Johnson",EDGE,4.38,7.20,4.81,105,35.0,16
"Cameron Heyward",EDGE,-,-,4.92,-,30.0,-
"Cameron Jordan",EDGE,4.37,7.07,4.74,117,31.0,25
"Cameron Malveaux",EDGE,4.62,7.51,4.82,125,37.5,21
"Cameron Wake",EDGE,4.13,7.12,4.65,130,45.5,20
"Carl Granderson",EDGE,4.41,7.44,4.79,119,35.0,-
"Carl Lawson",EDGE,4.19,7.46,4.67,114,33.0,35
"Carl Nassib",EDGE,4.37,7.27,4.84,114,28.5,21
"Carlos Dunlap",EDGE,4.61,7.21,4.68,111,31.5,21
"Carlos Thompson",EDGE,4.54,7.51,4.81,123,38.0,-
"Carroll Phillips",EDGE,4.37,7.06,4.64,123,30.0,23
"Cassius Marsh",EDGE,4.25,7.08,4.89,108,32.0,14
"Caushaud Lyons",EDGE,7.51,4.55,4.91,120,30.5,24
"CeCe Jefferson",EDGE,4.53,7.50,5.02,108,30.5,17
"Chad Thomas",EDGE,4.83,7.36,4.92,116,29.0,-
"Chandler Jones",EDGE,4.38,7.07,4.77,120,35.0,22
"Charles Harris",EDGE,4.42,7.47,4.82,109,32.0,21
"Charles Johnson",EDGE,-,7.50,4.84,118,34.0,33
"Charles Tapper",EDGE,-,-,4.59,119,34.0,23
"Chase Winovich",EDGE,4.11,6.94,4.59,116,30.5,18
"Chris Landrum",EDGE,4.62,7.29,4.84,113,31.0,17
"Chris Long",EDGE,4.21,7.02,4.75,124,34.0,-
"Chris McCain",EDGE,4.51,7.04,4.72,121,32.0,10
"Chris Odom",EDGE,4.63,7.67,4.88,114,31.5,20
"Chris Smith",EDGE,4.46,7.55,4.71,121,37.0,28
"Christian Miller",EDGE,4.49,7.43,-,118,38.5,18
"Chuck Harris",EDGE,4.59,7.46,4.79,112,28.5,22
"Clay Matthews",EDGE,4.18,6.90,4.62,121,35.5,23
"Clelin Ferrell",EDGE,4.40,7.26,-,-,-,25
"Cliff Avril",EDGE,4.51,6.90,4.51,117,32.5,27
"Collin Bevins",EDGE,4.85,7.35,5.06,117,31.5,27
"Connor Barwin",EDGE,4.18,6.87,4.59,128,40.5,21
"Corey Lemonier",EDGE,4.40,7.14,4.60,119,33.0,27
"Cornelius Washington",EDGE,4.74,7.47,4.55,128,39.0,36
"Courtney Upshaw",EDGE,4.60,7.32,4.76,109,27.0,22
"Curt Boeke",EDGE,4.72,7.63,5.05,112,27.5,-
"D.J. Pettway",EDGE,4.69,7.74,4.99,108,28.0,17
"Dadi Nicolas",EDGE,4.38,7.04,4.74,116,41.0,14
"Daeshon Hall",EDGE,4.38,7.03,4.76,123,36.0,18
"Danielle Hunter",EDGE,4.35,6.95,4.57,130,36.5,25
"Dante Fowler",EDGE,4.32,7.40,4.60,112,32.5,19
