"Full Name",Position,"Arm Length","Height (Inches)",BMI,"Draft Pick","Draft Year","Hand Size"
"Aaron Lynch",EDGE,"34    ",77,29.5,5.10,2014,"10 1/4"
"Aaron Wallace",EDGE,"33 5/8",74,31.1,7.01,2016,"9 3/4"
"Adam Butler",EDGE,"32 1/4",76,35.7,Undrafted,2017,"9 3/4"
"Ade Aruna",EDGE,"34    ",77,31.1,6.44,2018,"10 5/8"
"Adrian Clayborn",EDGE,"32 1/2",75,35.1,1.20,2011,"9 3/4"
"Al-Quadin Muhammad",EDGE,"33 1/4",75,31.6,6.12,2017,"9 3/8"
"Albert McClellan",EDGE,"33    ",73,32.6,Undrafted,2010,"9 3/4"
"Aldon Smith",EDGE,"35 3/8",76,32.0,1.07,2011,"9 3/4"
"Alec Heldreth",EDGE,"31 7/8",75,35.0,Undrafted,2019,"8 7/8"
"Alex Barrett",EDGE,"32    ",74,32.4,Undrafted,2017,"9 3/4"
"Alex Jenkins",EDGE,-,78,31.2,Undrafted,2017,-
"Alex McCalister",EDGE,"36    ",78,27.6,7.19,2016,"9 3/8"
"Alex Okafor",EDGE,"33 7/8",77,31.3,4.06,2013,"9 5/8"
"Allen Bailey",EDGE,"34    ",75,35.6,3.22,2011,"10 1/4"
"Amani Bledsoe",EDGE,"32 1/4",76,34.1,Undrafted,2019,"9 3/8"
"Andre Branch",EDGE,"34    ",76,31.5,2.06,2012,"9    "
"Anree Saint-Amour",EDGE,"32 1/4",74,33.1,Undrafted,2019,"9 1/2"
"Anthony Chickillo",EDGE,"33 1/2",75,33.4,6.36,2015,"10 1/8"
"Anthony Lanier",EDGE,"35 1/8",77,31.7,Undrafted,2016,"10    "
"Anthony Winbush",EDGE,"32 1/8",73,32.8,Undrafted,2018,"9 1/4"
"Anthony Zettel",EDGE,"31 1/8",75,34.6,6.27,2016,"9 1/2"
"Antonio Simmons",EDGE,"30 5/8",74,32.4,Undrafted,2018,"9 1/8"
"Arden Key",EDGE,"33 1/2",77,28.2,3.23,2018,"10    "
"Armonty Bryant",EDGE,"35 3/4",76,32.0,7.11,2013,"9 3/4"
"Arthur Miley",EDGE,"33 7/8",78,30.4,Undrafted,2015,"9 1/2"
"Austin Bryant",EDGE,"34 5/8",76,33.0,4.15,2019,"9 5/8"
"Avery Moss",EDGE,"34 1/2",75,33.0,5.23,2017,"10 3/8"
"B.J. Dubose",EDGE,"33    ",76,34.6,6.17,2015,"9 3/4"
"Barkevious Mingo",EDGE,"33 3/4",76,29.3,1.06,2013,"9 5/8"
"Ben Banogu",EDGE,"33 5/8",75,31.2,2.17,2019,"9    "
"Benson Mayowa",EDGE,"33 1/4",76,29.3,Undrafted,2013,"8 5/8"
"Billy Winn",EDGE,"32 1/2",76,35.8,6.35,2012,"9    "
"Bjoern Werner",EDGE,"33 1/4",75,33.2,1.24,2013,"9 5/8"
"Bradley Chubb",EDGE,"34    ",76,32.7,1.05,2018,"9 7/8"
"Branden Jackson",EDGE,"33 3/8",75,34.1,Undrafted,2016,"10 1/4"
"Brandon Copeland",EDGE,"31 3/4",75,32.5,Undrafted,2013,"8 5/8"
"Brandon Graham",EDGE,"32 1/4",74,34.4,1.13,2010,"9 7/8"
"Breckyn Hager",EDGE,"32    ",75,31.9,Undrafted,2019,"9 5/8"
"Breeland Speaks",EDGE,"33 3/4",75,35.4,2.14,2018,"9 7/8"
"Brennan Scarlett",EDGE,"33 3/4",76,32.7,Undrafted,2016,"9    "
"Brent Urban",EDGE,"34 1/2",79,33.2,4.34,2014,"9 3/4"
"Brian Burns",EDGE,"33 7/8",77,29.5,1.16,2019,"10    "
"Brian Orakpo",EDGE,"33 1/2",75,32.9,1.13,2009,"9 1/2"
"Brian Robison",EDGE,-,75,32.4,4.03,2007,-
"Bronson Kaufusi",EDGE,"34 1/2",78,32.9,3.07,2016,"9 3/4"
"Brooks Reed",EDGE,"32 1/4",76,32.0,2.10,2011,"10    "
"Bruce Irvin",EDGE,"33 3/8",75,30.6,1.15,2012,"9 5/8"
"Bryan Braman",EDGE,-,77,28.6,Undrafted,2011,-
"Bryan Cox",EDGE,"33 3/4",75,33.1,Undrafted,2017,"9 1/2"
"Bryson Albright",EDGE,"32 3/8",77,28.3,Undrafted,2016,"10 1/4"
"Bud Dupree",EDGE,"32 5/8",76,32.7,1.22,2015,"9 3/4"
"Calais Campbell",EDGE,"33 5/8",80,31.9,2.19,2008,"9 3/4"
"Cam Johnson",EDGE,"33 1/2",75,33.5,7.30,2012,"9    "
"Cameron Heyward",EDGE,"34 1/4",77,34.9,1.31,2011,"10 1/8"
"Cameron Jordan",EDGE,"35    ",76,34.9,1.24,2011,"11 1/8"
"Cameron Malveaux",EDGE,"34 1/4",77,32.4,Undrafted,2017,"10 1/4"
"Cameron Wake",EDGE,"32 1/2",75,29.5,Undrafted,2005,"9 1/8"
"Carl Granderson",EDGE,"34    ",77,30.1,Undrafted,2019,"9 5/8"
"Carl Lawson",EDGE,"31 1/2",74,33.5,4.09,2017,"10 3/8"
"Carl Nassib",EDGE,"34 1/2",78,32.0,3.02,2016,"10 3/8"
"Carlos Dunlap",EDGE,"34 5/8",78,32.1,2.21,2010,"10    "
"Carlos Thompson",EDGE,"34 3/8",77,29.6,Undrafted,2015,"9    "
"Carroll Phillips",EDGE,"33    ",75,30.2,Undrafted,2017,"9 3/4"
"Cassius Marsh",EDGE,"32 3/4",76,30.7,4.08,2014,"9 1/2"
"Caushaud Lyons",EDGE,"34 1/8",76,34.7,Undrafted,2015,"9 1/2"
"CeCe Jefferson",EDGE,"33 5/8",73,35.1,Undrafted,2019,"9 5/8"
"Chad Thomas",EDGE,"33 1/2",77,33.3,3.03,2018,"10 1/4"
"Chandler Jones",EDGE,"35 1/2",77,31.5,1.21,2012,"0    "
"Charles Harris",EDGE,"32 3/8",75,31.6,1.22,2017,"9 5/8"
"Charles Johnson",EDGE,"32 7/8",74,34.7,3.18,2007,"9 5/8"
"Charles Tapper",EDGE,"34 3/8",74,34.8,4.03,2016,"11 1/2"
"Chase Winovich",EDGE,"32 3/4",75,32.0,3.13,2019,"10    "
"Chris Landrum",EDGE,"32 3/4",74,31.5,Undrafted,2016,"9    "
"Chris Long",EDGE,"32 1/2",75,34.0,1.02,2008,"10 1/8"
"Chris McCain",EDGE,"34 1/4",77,26.6,Undrafted,2014,"11    "
"Chris Odom",EDGE,"32 5/8",76,31.9,Undrafted,2017,"8 1/4"
"Chris Smith",EDGE,"34 1/8",73,35.1,5.19,2014,"9 1/2"
"Christian Miller",EDGE,"35 1/8",75,30.9,4.13,2019,"9 3/4"
"Chuck Harris",EDGE,"33 1/8",76,32.3,Undrafted,2019,"9 7/8"
"Clay Matthews",EDGE,"32 1/4",75,30.0,1.26,2009,"9 1/2"
"Clelin Ferrell",EDGE,"34 1/8",76,32.1,1.04,2019,"10 1/2"
"Cliff Avril",EDGE,"33 3/4",75,31.6,3.28,2008,"8 1/2"
"Collin Bevins",EDGE,"34 3/4",78,32.9,Undrafted,2017,"10 3/4"
"Connor Barwin",EDGE,"33 3/4",76,31.2,2.14,2009,"10    "
"Corbin Kaufusi",EDGE,"36 1/8",81,29.9,Undrafted,2019,"9 1/8"
"Corey Lemonier",EDGE,"34 1/2",75,31.9,3.26,2013,"10 1/8"
"Cornelius Washington",EDGE,"34    ",76,32.3,6.20,2013,"9 1/2"
"Courtney Upshaw",EDGE,"32    ",74,34.9,2.03,2012,"9    "
"Curt Boeke",EDGE,"32 1/8",76,33.3,Undrafted,2019,"9 1/8"
"D'Andre Walker",EDGE,"34 3/8",74,32.2,5.30,2019,"9 7/8"
"D.J. Pettway",EDGE,"32 1/4",74,34.0,Undrafted,2016,"9 1/2"
"Dadi Nicolas",EDGE,"34 3/4",74,30.2,6.28,2016,"10 3/8"
"Daeshon Hall",EDGE,"35    ",77,31.5,2.13,2017,"9 5/8"
"Danielle Hunter",EDGE,"34 1/4",77,29.9,3.24,2015,"10 1/2"
"Dante Fowler",EDGE,"33 3/4",75,32.6,1.03,2015,"9 1/2"
"Darius Jackson",EDGE,"32    ",74,31.1,Undrafted,2018,"9 1/8"
"Darnell Leslie",EDGE,"33 5/8",74,30.2,Undrafted,2017,"9 1/2"
"Darryl Johnson",EDGE,"33 7/8",78,29.2,7.11,2019,"10    "
"Datone Jones",EDGE,"32 5/8",76,34.4,1.26,2013,"10    "
"David Bass",EDGE,"33 1/2",76,31.9,7.27,2013,"10 1/2"
"David King",EDGE,"34    ",77,33.9,7.33,2013,"9 3/4"
"Davin Bellamy",EDGE,"33 1/4",76,31.0,Undrafted,2018,"9 1/2"
"Dawuane Smoot",EDGE,"33 1/4",75,33.0,3.04,2017,"9 1/4"
"DeMarcus Ware",EDGE,"34    ",76,30.5,1.11,2005,"10    "
"Dean Lowry",EDGE,"31    ",77,35.1,4.37,2016,"9 3/8"
"Deatrich Wise",EDGE,"35 5/8",77,32.1,4.25,2017,"10 1/2"
"Dee Ford",EDGE,"32 7/8",74,32.4,1.23,2014,"10 1/4"
"Deiontrez Mount",EDGE,"32 7/8",77,30.0,6.01,2015,"9 1/4"
"Demarcus Lawrence",EDGE,"33 3/4",75,31.4,2.02,2014,"11    "
"Demarcus Walker",EDGE,"33    ",76,34.1,5.17,2017,"10 1/2"
"Derek Barnett",EDGE,"32 1/8",75,32.4,1.14,2017,"10    "
"Derek Rivers",EDGE,"32 3/4",76,30.2,3.20,2017,"9 3/8"
"Derick Roberson",EDGE,"32 7/8",75,30.9,Undrafted,2019,"9 7/8"
"Derrick Morgan",EDGE,"34 1/2",75,33.2,1.16,2010,"9 3/4"
"Derrick Shelby",EDGE,"33 1/2",75,33.2,Undrafted,2012,"9 5/8"
"Devin Taylor",EDGE,"36    ",79,30.0,4.35,2013,"10 3/8"
"Dewayne Hendrix",EDGE,"32 1/2",75,34.4,Undrafted,2019,"9 7/8"
"Dion Jordan",EDGE,"33 7/8",78,28.7,1.03,2013,"10    "
"Dorance Armstrong",EDGE,"34 3/4",76,31.3,4.16,2018,"10    "
"Duke Ejiofor",EDGE,"34 7/8",76,32.1,6.03,2018,"9 3/4"
