"Full Name",Position,"20-Yard Shuttle","3-Cone Drill","40-Yard Dash","Broad Jump","Vertical Jump","Bench Press"
"A.J. Klein",LB,4.35,7.06,4.66,113,33.0,20
"Adam Bighill",LB,4.30,6.99,4.64,110,33.0,24
"Adarius Taylor",LB,4.50,7.09,4.64,117,33.0,32
"Ahmad Brooks",LB,4.43,7.43,4.77,116,32.0,19
"Ahmad Thomas",LB,4.13,7.03,4.73,118,36.5,15
"Akeem Ayers",LB,4.28,7.49,4.81,116,31.0,18
"Akeem Dent",LB,4.38,6.93,4.78,123,37.5,24
"Alani Fua",LB,4.15,6.83,4.73,118,34.5,18
"Alec Ogletree",LB,4.39,7.16,4.70,122,33.5,20
"Alex Anzalone",LB,4.25,6.88,4.63,116,30.5,16
"Andre Smith",LB,4.35,7.50,4.63,116,32.5,19
"Andrew Gachkar",LB,4.29,6.95,4.61,118,34.0,18
"Andrew Van Ginkel",LB,4.14,6.89,4.64,123,38.0,17
"Anthony Barr",LB,4.19,6.82,4.66,117,34.5,15
"Anthony Hitchens",LB,4.45,7.15,4.74,115,31.5,23
"Anthony Walker",LB,-,-,4.65,115,30.5,23
"Anthony Wint",LB,4.41,7.32,4.87,121,35.0,17
"Antonio Morrison",LB,4.64,7.69,5.15,111,30.0,23
"Antwione Williams",LB,4.58,7.03,4.85,118,35.0,23
"Arthur Brown",LB,4.31,7.07,4.62,116,32.5,21
"Arthur Moats",LB,4.37,7.22,4.64,122,36.5,24
"Audie Cole",LB,4.29,6.96,4.76,114,35.0,15
"Austin Calitro",LB,4.31,6.96,4.72,111,34.0,24
"Avery Williamson",LB,4.07,7.11,4.66,120,30.5,25
"Azeem Victor",LB,4.40,7.20,4.72,115,32.5,19
"Azeez Al-Shaair",LB,-,-,-,-,-,16
"B.J. Bello",LB,4.17,6.71,4.61,129,33.5,10
"B.J. Goodson",LB,4.51,7.05,4.69,118,34.5,30
"Bam Bradley",LB,4.73,7.28,4.59,122,35.0,18
"Ben Boulware",LB,4.43,7.02,4.90,111,29.5,20
"Ben Burr-Kirven",LB,4.09,6.85,4.56,121,34.5,21
"Ben Gedeon",LB,4.13,6.98,4.75,119,34.5,27
"Ben Heeney",LB,4.00,6.68,4.59,120,33.5,19
"Ben Jacobs",LB,4.45,7.19,4.89,216,34.5,-
"Benardrick McKinney",LB,4.27,7.21,4.66,121,40.5,16
"Blair Brown",LB,4.18,6.92,4.65,124,37.0,22
"Blake Cashman",LB,4.12,6.95,4.50,124,37.5,18
"Blake Martinez",LB,4.20,6.98,4.71,113,28.5,22
"Bobby Okereke",LB,4.26,7.25,4.58,122,33.5,16
"Bobby Wagner",LB,4.28,7.10,4.46,132,39.5,24
"Boseko Lokombo",LB,4.30,7.15,4.66,122,-,-
"Brady Sheldon",LB,4.24,7.07,4.57,125,37.0,15
"Brandon Bell",LB,4.33,7.05,4.75,115,32.0,15
"Brandon Chubb",LB,4.22,6.85,4.73,121,34.0,23
