"Full Name",Position,"Arm Length","Height (Inches)",BMI,"Draft Pick","Draft Year","Hand Size"
"A.J. Klein",LB,"32 3/4",73,33.0,5.14,2013,"10 1/4"
"Adam Bighill",LB,-,70,33.0,Undrafted,2011,-
"Adarius Taylor",LB,"30 3/4",73,30.3,Undrafted,2014,"8 1/8"
"Ahmad Brooks",LB,"33 1/2",75,32.4,Supplemental,2006,"9 1/2"
"Ahmad Thomas",LB,"31    ",72,29.0,Undrafted,2017,"8 3/4"
"Akeem Ayers",LB,"33    ",75,31.7,2.07,2011,"9    "
"Akeem Dent",LB,"32    ",73,31.9,3.27,2011,"10    "
"Alani Fua",LB,"32    ",77,28.2,Undrafted,2015,"10 1/8"
"Alec Ogletree",LB,"33 1/2",75,30.2,1.30,2013,"10    "
"Alex Anzalone",LB,"32 1/8",75,30.1,3.12,2017,"9 1/8"
"Andre Smith",LB,"33 1/8",72,32.1,7.16,2018,"10    "
"Andrew Gachkar",LB,-,74,28.8,7.31,2011,-
"Andrew Van Ginkel",LB,"32 1/2",75,30.1,5.13,2019,"9 3/8"
"Anthony Barr",LB,"33 1/2",77,30.2,1.09,2014,"9 3/8"
"Anthony Hitchens",LB,"32 1/2",73,31.7,4.19,2014,"9 1/8"
"Anthony Walker",LB,"30 3/8",73,31.9,5.17,2017,"9 1/2"
"Anthony Wint",LB,"31 5/8",71,32.2,Undrafted,2018,"9    "
"Antonio Morrison",LB,"30 3/8",73,30.6,4.27,2016,"9    "
"Antwione Williams",LB,"33 7/8",75,30.9,5.32,2016,"9 3/4"
"Arthur Brown",LB,"32 1/2",73,31.8,2.24,2013,"10    "
"Arthur Moats",LB,"33 3/4",73,32.5,6.09,2010,"8 5/8"
"Audie Cole",LB,"32 3/4",76,29.9,7.18,2012,"10    "
"Austin Calitro",LB,"32 1/4",72,32.4,Undrafted,2017,"9 3/8"
"Avery Williamson",LB,"32 3/4",73,32.5,5.11,2014,"9 1/2"
"Azeem Victor",LB,"33    ",74,30.8,Undrafted,2018,"9 3/8"
"Azeez Al-Shaair",LB,"32 3/8",73,30.9,Undrafted,2019,"9 1/2"
"B.J. Bello",LB,"33 7/8",74,29.4,Undrafted,2017,"9    "
"B.J. Goodson",LB,"33 1/4",72,32.8,4.11,2016,"10    "
"Bam Bradley",LB,"32 1/8",71,33.1,Undrafted,2017,"8 5/8"
"Ben Boulware",LB,"30 1/2",72,32.3,Undrafted,2017,"10    "
"Ben Burr-Kirven",LB,"31 7/8",72,31.2,5.04,2019,"8 7/8"
"Ben Gedeon",LB,"32 5/8",74,31.3,4.14,2017,"10    "
"Ben Heeney",LB,"30 3/4",73,30.5,5.04,2015,"9    "
"Ben Jacobs",LB,-,76,29.2,Undrafted,2011,-
"Benardrick McKinney",LB,"33    ",76,29.9,2.11,2015,"9    "
"Blair Brown",LB,"31 1/4",71,33.2,5.40,2017,"9 3/8"
"Blake Cashman",LB,"30 1/8",73,31.3,5.19,2019,"8 3/4"
"Blake Martinez",LB,"31 5/8",73,31.3,4.33,2016,"10 7/8"
