"Full Name",Position,"Arm Length","Height (Inches)",BMI,"Draft Pick","Draft Year","Hand Size"
"A.J. Cann",OL,"32 5/8",75,39.1,3.03,2015,"10 1/4"
"A.Q. Shipley",OL,-,73,40.1,7.17,2009,-
"Aaron Neary",OL,"33    ",76,36.6,Undrafted,2016,"9 7/8"
"Aaron Stinnie",OL,"34 1/4",75,39.0,Undrafted,2018,"9 1/2"
"Adam Bisnowaty",OL,"33 7/8",78,35.1,6.16,2017,"11 3/8"
"Adam Gettis",OL,"33 1/8",74,37.6,5.06,2012,"9 1/2"
"Adam Pankey",OL,"34 1/2",77,37.1,Undrafted,2017,"10 1/8"
"Adam Redmond",OL,-,78,34.7,Undrafted,2016,-
"Alejandro Villanueva",OL,-,81,29.7,Undrafted,2010,-
"Alex Balducci",OL,"32    ",76,37.7,Undrafted,2016,"9 3/8"
"Alex Bars",OL,"32 3/4",78,36.1,Undrafted,2019,"9 3/8"
"Alex Boone",OL,-,79,36.9,Undrafted,2009,-
"Alex Cappa",OL,"32 5/8",78,35.2,3.30,2018,"9 1/4"
"Alex Lewis",OL,"34    ",78,36.1,4.32,2016,"10    "
"Alex Light",OL,"33 1/4",77,36.6,Undrafted,2018,"11 1/4"
"Alex Mack",OL,"33    ",76,37.9,1.21,2009,"10 3/4"
"Alex Redmond",OL,"33 1/4",76,35.8,3.05,2016,"10 1/2"
"Ali Marpet",OL,"33 3/8",76,37.4,2.29,2015,"10    "
"Allen Barbe",OL,-,76,36.5,4.19,2007,-
"Alvin Bailey",OL,"34 5/8",75,39.0,Undrafted,2013,"9 3/8"
"Amini Silatolu",OL,"33    ",76,37.1,2.08,2012,"10 1/8"
"Andre Dillard",OL,"33 1/2",77,37.3,1.22,2019,"10    "
"Andre James",OL,"32    ",76,36.4,Undrafted,2019,"10    "
"Andre Smith",OL,"35 3/8",76,40.2,1.06,2009,"9 3/4"
"Andreas Knappe",OL,"33    ",80,34.2,Undrafted,2017,"9 3/4"
"Andrew Donnal",OL,"33 1/2",78,36.2,4.02,2015,"10    "
"Andrew Jelks",OL,-,78,35.5,Undrafted,2017,-
"Andrew Lauderdale",OL,-,78,33.6,Undrafted,2017,-
"Andrew Norwell",OL,"33 5/8",78,37.6,Undrafted,2014,"9 7/8"
"Andrew Tiller",OL,"33 1/4",76,39.4,6.09,2012,"9 3/8"
"Andrew Whitworth",OL,-,79,37.6,2.23,2006,-
"Andrew Wylie",OL,-,77,36.0,Undrafted,2017,-
"Andrus Peat",OL,"34 3/8",79,35.3,1.13,2015,"10 5/8"
"Andy Gallik",OL,"32 3/4",74,39.3,6.32,2015,"10 1/4"
"Andy Levitre",OL,-,75,38.1,2.19,2009,-
"Anthony Castonzo",OL,"34 1/2",79,35.0,1.22,2011,"10 5/8"
"Anthony Davis",OL,"34    ",77,38.3,1.11,2010,-
"Anthony Fabiano",OL,"31 1/2",73,40.0,Undrafted,2016,"9 3/8"
"Anthony Steen",OL,"30 1/2",75,39.2,Undrafted,2014,"9 1/8"
"Antonio Garcia",OL,"33 3/8",78,34.9,3.02,2017,"9 7/8"
"Arie Kouandjio",OL,"34 1/8",77,36.8,4.13,2015,"10 7/8"
"Austin Blythe",OL,"30 1/4",74,38.3,7.28,2016,"9 3/8"
"Austin Corbett",OL,"33 1/8",76,37.2,2.01,2018,"10 1/2"
"Austin Howard",OL,-,79,37.2,Undrafted,2010,-
"Austin Pasztor",OL,-,79,34.4,Undrafted,2012,-
"Austin Reiter",OL,"32    ",75,37.5,7.05,2015,"9 1/2"
"Austin Shepherd",OL,"32 7/8",76,38.3,7.11,2015,"10    "
"Avery Gennesy",OL,"33 5/8",75,39.7,Undrafted,2017,"9 1/2"
"Avery Young",OL,"33 3/4",76,39.9,Undrafted,2016,"10 1/2"
"Aviante Collins",OL,"33 3/8",76,35.9,Undrafted,2017,"9 3/8"
"B.J. Finney",OL,"32    ",76,38.7,Undrafted,2015,"10    "
"Beau Benzschawel",OL,"33 3/8",78,35.7,Undrafted,2019,"9 5/8"
"Ben Braden",OL,"34    ",78,38.0,Undrafted,2017,"9 7/8"
"Ben Garland",OL,-,77,34.1,Undrafted,2010,-
"Ben Ijalana",OL,"36    ",76,38.6,2.17,2011,"10 1/2"
"Ben Jones",OL,"32 1/2",75,37.9,4.04,2012,"9 5/8"
"Ben Powers",OL,"33 3/4",76,37.4,4.21,2019,"9 7/8"
"Billy Price",OL,"32    ",76,37.1,1.21,2018,"9 3/4"
"Billy Turner",OL,"34    ",77,37.3,3.03,2014,"10    "
"Blaine Clausell",OL,-,78,38.0,Undrafted,2015,-
"Bobby Evans",OL,"34 3/4",76,38.0,3.33,2019,"9 7/8"
"Bobby Hart",OL,"33    ",77,39.0,7.09,2015,"10 1/8"
"Bobby Massie",OL,"35    ",78,36.5,4.17,2012,"9    "
"Brad Lundblade",OL,"31 3/4",75,36.9,Undrafted,2018,"9 5/8"
"Brad Seaton",OL,-,79,37.1,7.18,2017,-
"Braden Smith",OL,"32 1/4",78,36.4,2.05,2018,"9 3/8"
"Bradley Bozeman",OL,"31 1/4",77,35.1,6.41,2018,"9 3/4"
"Bradley Sowell",OL,-,79,34.8,Undrafted,2012,-
"Branden Albert",OL,-,78,35.7,1.15,2008,-
"Brandon Brooks",OL,-,77,41.0,3.13,2012,-
"Brandon Fusco",OL,"33 3/4",76,37.2,6.07,2011,"10    "
"Brandon Greene",OL,-,76,35.1,Undrafted,2017,-
"Brandon Knight",OL,"34    ",76,38.2,Undrafted,2019,"10    "
"Brandon Kublanow",OL,-,74,38.5,Undrafted,2017,-
"Brandon Linder",OL,"34 1/2",78,35.9,3.29,2014,"10 1/4"
"Brandon Parker",OL,"35    ",80,33.5,3.01,2018,"9 3/4"
"Brandon Scherff",OL,"33 3/8",77,37.8,1.05,2015,"11    "
"Brandon Shell",OL,"34 3/4",77,38.4,5.19,2016,"10 3/4"
"Brandon Thomas",OL,"34 3/4",75,39.6,3.36,2014,"10 1/2"
"Breno Giacomini",OL,-,79,34.1,5.15,2008,-
"Brent Qvale",OL,"34 3/8",78,36.7,Undrafted,2014,"9 1/4"
"Brett Boyko",OL,"32    ",79,33.9,Undrafted,2015,"9    "
"Brett Jones",OL,-,74,40.1,Undrafted,2015,-
"Brett Toth",OL,"33 3/8",78,33.6,Undrafted,2018,"10 1/4"
"Brian Allen",OL,"34    ",75,26.9,5.30,2017,"10    "
"Brian Mihalik",OL,-,81,32.4,7.20,2015,-
"Brian O'Neill",OL,"34 1/8",79,33.5,2.30,2018,"9 3/8"
"Brian Schwenke",OL,"32    ",75,39.2,4.10,2013,"10 1/4"
