"Full Name",Position,"Hand Size","Arm Length","Height (Inches)","Draft Pick",BMI,"Draft Year"
"A.J. Cann",OL,"10 1/4","32 5/8",75,3.03,39.1,2015
"A.Q. Shipley",OL,-,-,73,7.17,40.1,2009
"Aaron Neary",OL,"9 7/8","33    ",76,Undrafted,36.6,2016
"Aaron Stinnie",OL,"9 1/2","34 1/4",75,Undrafted,39.0,2018
"Adam Bisnowaty",OL,"11 3/8","33 7/8",78,6.16,35.1,2017
"Adam Gettis",OL,"9 1/2","33 1/8",74,5.06,37.6,2012
"Adam Pankey",OL,"10 1/8","34 1/2",77,Undrafted,37.1,2017
"Adam Redmond",OL,-,-,78,Undrafted,34.7,2016
"Alejandro Villanueva",OL,-,-,81,Undrafted,29.7,2010
"Alex Balducci",OL,"9 3/8","32    ",76,Undrafted,37.7,2016
"Alex Bars",OL,"9 3/8","32 3/4",78,Undrafted,36.1,2019
"Alex Boone",OL,-,-,79,Undrafted,36.9,2009
"Alex Cappa",OL,"9 1/4","32 5/8",78,3.30,35.2,2018
"Alex Lewis",OL,"10    ","34    ",78,4.32,36.1,2016
"Alex Light",OL,"11 1/4","33 1/4",77,Undrafted,36.6,2018
"Alex Mack",OL,"10 3/4","33    ",76,1.21,37.9,2009
"Alex Redmond",OL,"10 1/2","33 1/4",76,3.05,35.8,2016
"Ali Marpet",OL,"10    ","33 3/8",76,2.29,37.4,2015
"Allen Barbe",OL,-,-,76,4.19,36.5,2007
"Alvin Bailey",OL,"9 3/8","34 5/8",75,Undrafted,39.0,2013
"Amini Silatolu",OL,"10 1/8","33    ",76,2.08,37.1,2012
"Andre Dillard",OL,"10    ","33 1/2",77,1.22,37.3,2019
"Andre James",OL,"10    ","32    ",76,Undrafted,36.4,2019
"Andre Smith",OL,"9 3/4","35 3/8",76,1.06,40.2,2009
"Andreas Knappe",OL,"9 3/4","33    ",80,Undrafted,34.2,2017
"Andrew Donnal",OL,"10    ","33 1/2",78,4.02,36.2,2015
"Andrew Jelks",OL,-,-,78,Undrafted,35.5,2017
"Andrew Lauderdale",OL,-,-,78,Undrafted,33.6,2017
"Andrew Norwell",OL,"9 7/8","33 5/8",78,Undrafted,37.6,2014
"Andrew Tiller",OL,"9 3/8","33 1/4",76,6.09,39.4,2012
"Andrew Whitworth",OL,-,-,79,2.23,37.6,2006
"Andrew Wylie",OL,-,-,77,Undrafted,36.0,2017
"Andrus Peat",OL,"10 5/8","34 3/8",79,1.13,35.3,2015
"Andy Gallik",OL,"10 1/4","32 3/4",74,6.32,39.3,2015
"Andy Levitre",OL,-,-,75,2.19,38.1,2009
"Anthony Castonzo",OL,"10 5/8","34 1/2",79,1.22,35.0,2011
"Anthony Davis",OL,-,"34    ",77,1.11,38.3,2010
"Anthony Fabiano",OL,"9 3/8","31 1/2",73,Undrafted,40.0,2016
"Anthony Steen",OL,"9 1/8","30 1/2",75,Undrafted,39.2,2014
"Antonio Garcia",OL,"9 7/8","33 3/8",78,3.02,34.9,2017
"Arie Kouandjio",OL,"10 7/8","34 1/8",77,4.13,36.8,2015
"Austin Blythe",OL,"9 3/8","30 1/4",74,7.28,38.3,2016
"Austin Corbett",OL,"10 1/2","33 1/8",76,2.01,37.2,2018
"Austin Howard",OL,-,-,79,Undrafted,37.2,2010
"Austin Pasztor",OL,-,-,79,Undrafted,34.4,2012
"Austin Reiter",OL,"9 1/2","32    ",75,7.05,37.5,2015
"Austin Shepherd",OL,"10    ","32 7/8",76,7.11,38.3,2015
"Avery Gennesy",OL,"9 1/2","33 5/8",75,Undrafted,39.7,2017
"Avery Young",OL,"10 1/2","33 3/4",76,Undrafted,39.9,2016
"Aviante Collins",OL,"9 3/8","33 3/8",76,Undrafted,35.9,2017
"B.J. Finney",OL,"10    ","32    ",76,Undrafted,38.7,2015
"Beau Benzschawel",OL,"9 5/8","33 3/8",78,Undrafted,35.7,2019
"Ben Braden",OL,"9 7/8","34    ",78,Undrafted,38.0,2017
"Ben Garland",OL,-,-,77,Undrafted,34.1,2010
"Ben Ijalana",OL,"10 1/2","36    ",76,2.17,38.6,2011
"Ben Jones",OL,"9 5/8","32 1/2",75,4.04,37.9,2012
