"Full Name",Position,"20-Yard Shuttle","3-Cone Drill","Broad Jump","Throw Velocity","40-Yard Dash","Vertical Jump","Wonderlic Score"
"A.J. McCarron",QB,4.34,7.18,99,-,4.94,28.0,-
"Aaron Murray",QB,-,-,-,-,4.89,-,-
"Aaron Rodgers",QB,4.32,7.39,110,-,4.71,34.5,39
"Alek Torgersen",QB,4.68,7.75,117,-,4.96,30.0,-
"Alex McGough",QB,4.50,7.27,112,-,4.67,32.5,-
"Alex Smith",QB,3.97,6.82,113,-,4.71,32.0,40
"Alex Tanney",QB,4.45,7.13,103,-,5.01,29.0,-
"Andrew Luck",QB,4.28,6.80,124,-,4.67,36.0,37
"Andy Dalton",QB,4.27,6.93,106,"56 mph",4.87,29.5,29
"Anthony Boone",QB,4.62,7.47,100,"56 mph",5.03,26.5,20
"Antonio Pipkin",QB,4.25,7.07,116,-,4.71,36.5,-
"Austin Allen",QB,4.48,7.18,112,"54 mph",4.81,29.5,-
"Austin Appleby",QB,4.40,7.13,113,-,4.91,30.0,-
"Austin Davis",QB,4.11,6.73,109,"58 mph",4.76,31.0,-
"Austin Dodge",QB,4.41,7.06,105,-,5.05,28.0,-
"Baker Mayfield",QB,4.28,7.00,111,"60 mph",4.84,29.0,25
"Bart Houston",QB,4.44,7.00,118,-,5.17,29.0,-
"Ben Roethlisberger",QB,-,-,-,-,4.80,-,25
"Blaine Gabbert",QB,4.26,6.84,120,-,4.62,33.5,42
"Blake Bortles",QB,4.21,7.08,115,"56 mph",4.93,32.5,28
"Bo Wallace",QB,-,-,104,-,5.14,30.0,-
"Brad Kaaya",QB,-,-,-,"53 mph",-,-,34
"Brady Gustafson",QB,4.63,7.12,108,-,5.09,34.0,-
"Brandon Allen",QB,4.33,7.06,110,"55 mph",4.84,28.0,-
"Brandon Bridge",QB,4.37,7.18,110,"57 mph",4.72,33.0,-
"Brandon Doughty",QB,4.52,7.49,103,"53 mph",5.22,27.0,-
"Brandon Silvers",QB,4.78,7.68,103,-,5.11,28.0,-
"Brandon Weeden",QB,4.45,7.36,102,"59 mph",4.94,32.0,27
"Brendon Kay",QB,4.25,6.99,121,-,4.68,34.0,-
"Brett Hundley",QB,3.98,6.93,120,"53 mph",4.63,36.0,26
"Brett Rypien",QB,4.29,7.10,116,"57 mph",4.91,33.0,28
"Brett Smith",QB,4.18,6.98,128,-,4.64,31.0,-
"Brian Hoyer",QB,4.42,7.10,109,-,5.05,32.0,-
"Brock Jensen",QB,4.35,7.06,110,-,4.75,34.0,-
"Brock Osweiler",QB,-,-,-,-,4.88,-,25
"Brogan Roback",QB,4.45,7.50,113,-,5.08,30.0,-
"Bruce Gradkowski",QB,4.16,7.13,107,-,4.59,34.0,-
"Bryan Bennett",QB,4.20,7.13,125,"60 mph",4.81,37.0,-
"Bryce Petty",QB,4.13,6.91,121,"53 mph",4.87,34.0,31
"Bryn Renner",QB,4.30,7.22,108,"54 mph",4.87,25.5,-
"C.J. Beathard",QB,4.23,6.95,113,"54 mph",-,31.0,26
"Cam Newton",QB,4.18,6.92,126,"56 mph",4.59,35.0,21
"Cardale Jones",QB,-,-,-,-,4.81,36.0,25
"Carson Palmer",QB,-,-,105,-,4.75,33.0,26
"Carson Wentz",QB,4.15,6.86,118,"57 mph",4.77,30.5,40
"Case Keenum",QB,4.28,6.87,103,-,4.82,32.5,-
"Chad Henne",QB,4.40,7.17,106,"53 mph",4.92,25.5,22
"Chad Kanoff",QB,-,-,111,-,5.08,32.5,-
"Chad Kelly",QB,-,-,-,-,-,-,22
"Chandler Harnish",QB,4.15,6.78,112,"57 mph",4.76,32.5,-
"Charlie Whitehurst",QB,4.12,7.00,112,-,4.75,33.0,33
"Chase Daniel",QB,4.31,7.28,108,"57 mph",4.92,33.0,-
"Chase Litton",QB,4.53,7.49,106,"54 mph",4.90,29.5,24
"Christian Hackenberg",QB,4.33,7.04,114,"56 mph",4.78,31.0,24
"Christian Ponder",QB,4.09,6.85,116,"51 mph",4.65,34.0,35
"Clayton Thorson",QB,-,-,-,"57 mph",-,-,32
"Cody Fajardo",QB,4.10,6.95,118,"55 mph",4.63,32.5,-
"Cody Kessler",QB,4.00,7.32,104,"55 mph",4.89,29.5,-
"Cole Jaeschke",QB,4.42,7.24,118,-,5.08,36.5,-
"Cole Stoudt",QB,4.38,6.95,117,-,4.79,31.0,-
"Colin Kaepernick",QB,4.18,6.85,115,"59 mph",4.53,32.5,37
"Colt McCoy",QB,-,-,114,"56 mph",4.79,-,25
"Connor Cook",QB,4.28,7.21,113,"50 mph",4.79,33.0,25
"Connor Halliday",QB,-,-,-,-,4.92,-,22
"Connor Shaw",QB,4.33,7.07,116,"50 mph",4.66,34.0,-
"Cooper Rush",QB,4.47,7.23,105,"46 mph",4.93,27.0,-
"Corey Robinson",QB,4.80,7.53,102,-,5.11,28.0,-
"Dak Prescott",QB,4.32,7.11,116,"54 mph",4.79,32.5,25
"Dan Orlovsky",QB,4.43,7.33,107,-,4.93,29.5,30
"Daniel Jones",QB,4.41,7.00,120,"54 mph",4.81,33.5,37
"Danny Etling",QB,4.37,7.09,114,"55 mph",4.76,30.5,-
"David Blough",QB,4.55,7.22,107,-,4.96,31.5,-
"David Fales",QB,4.50,7.55,103,"53 mph",4.99,28.0,-
"Davis Webb",QB,4.21,6.92,118,"59 mph",4.79,33.0,25
"DeShone Kizer",QB,4.53,7.40,107,"56 mph",4.83,30.5,28
"Dennis Dixon",QB,-,-,-,-,4.63,-,29
"Derek Anderson",QB,4.67,7.67,103,-,5.03,29.0,23
"Derek Carr",QB,4.20,-,110,-,4.69,34.5,20
"Deshaun Watson",QB,4.31,6.95,119,"49 mph",4.66,32.5,20
"Devlin Hodges",QB,4.53,7.38,103,-,4.84,32.0,-
"Dillon Buechel",QB,4.77,7.38,117,-,5.01,34.5,-
"Dominique Davis",QB,4.16,6.89,128,-,4.61,38.5,-
"Drew Anderson",QB,4.40,6.89,115,-,4.90,36.0,-
"Drew Brees",QB,4.21,7.09,105,"52 mph",4.83,32.0,28
"Drew Lock",QB,4.12,7.03,112,"54 mph",4.69,31.0,26
"Drew Stanton",QB,4.41,6.77,108,"56 mph",4.75,30.5,35
"Dustin Vaughan",QB,4.43,7.25,108,"53 mph",4.95,29.0,-
"Dwayne Haskins",QB,-,-,-,"52 mph",5.04,28.5,25
"Dylan Thompson",QB,4.35,7.27,113,-,4.79,35.0,-
"E.J. Manuel",QB,4.21,7.08,118,"54 mph",4.65,34.0,28
"Easton Stick",QB,4.05,6.65,118,"54 mph",4.62,33.5,32
"Eli Manning",QB,-,-,-,-,4.95,30.0,39
"Gardner Minshew",QB,4.45,7.14,116,"54 mph",4.97,33.5,42
"Garrett Gilbert",QB,4.41,7.43,117,-,4.88,29.5,-
"Garrett Grayson",QB,4.35,6.97,121,-,4.79,34.0,20
"Geno Smith",QB,-,-,124,"55 mph",4.59,33.5,24
"Greg McElroy",QB,4.45,7.11,107,-,4.91,33.0,43
"Gunner Kiel",QB,4.53,7.47,117,-,4.89,35.0,-
"J.T. Barrett",QB,4.44,7.38,108,"52 mph",4.70,30.0,19
"Jacob Dolegala",QB,4.57,7.22,119,-,5.09,31.5,-
"Jacoby Brissett",QB,4.53,7.17,113,"56 mph",4.94,31.0,24
"Jake Browning",QB,4.44,7.19,112,"53 mph",4.74,29.0,-
"Jake Locker",QB,4.12,6.77,115,"54 mph",4.59,35.0,20
"Jake Rudock",QB,4.22,7.09,111,-,4.93,29.0,-
"Jameis Winston",QB,4.36,7.16,103,"55 mph",4.97,28.5,27
"James Franklin",QB,4.56,7.44,-,-,5.00,26.0,-
"Jared Goff",QB,4.47,7.17,110,"58 mph",4.82,27.0,34
"Jarrett Stidham",QB,4.33,7.28,110,"53 mph",4.81,31.0,27
"Jason Campbell",QB,4.47,7.42,-,-,4.77,38.0,28
"Jay Cutler",QB,4.31,7.12,-,"58 mph",4.77,-,26
"Jeff Driskel",QB,4.25,7.19,122,"52 mph",4.56,32.0,29
"Jeff Mathews",QB,4.36,7.14,105,-,5.26,25.5,40
"Jeff Tuel",QB,4.12,6.90,111,-,4.65,32.0,-
"Jerod Evans",QB,4.41,7.10,112,"55 mph",4.80,26.5,21
"Jerry Lovelocke",QB,4.51,7.30,113,"51 mph",4.99,31.5,-
"Jimmy Garoppolo",QB,4.26,7.04,110,"56 mph",4.97,30.5,24
"Joe Callahan",QB,4.70,7.47,107,-,5.03,33.0,24
"Joe Flacco",QB,4.27,6.82,110,"56 mph",4.84,28.5,27
"Joe Licata",QB,4.44,7.07,108,-,4.98,31.0,-
"Joe Webb",QB,4.04,6.71,137,-,4.49,42.5,-
"Joel Stave",QB,4.33,7.29,115,"56 mph",4.80,33.5,-
"John Skelton",QB,4.33,7.17,108,"50 mph",4.85,33.5,24
"John Wolford",QB,4.18,6.78,109,-,4.82,31.0,-
"Johnny Manziel",QB,4.03,6.75,113,-,4.68,31.5,32
"Jon Jennings",QB,4.19,6.85,119,-,4.70,31.0,-
"Jordan Palmer",QB,4.58,7.32,104,-,4.98,30.5,23
"Jordan Ta'amu",QB,4.36,7.06,109,"56 mph",4.77,27.5,-
"Josh Allen",QB,4.40,6.90,119,"62 mph",4.75,33.5,37
"Josh Freeman",QB,4.43,7.11,119,"57 mph",4.97,33.5,27
"Josh Johnson",QB,4.42,7.56,110,"49 mph",4.55,33.5,24
"Josh McCown",QB,3.90,6.85,120,-,4.59,38.5,30
"Josh Rosen",QB,4.28,7.09,111,"58 mph",4.92,31.0,29
"Josh Woodrum",QB,4.31,6.74,117,"56 mph",4.80,31.0,32
"Joshua Dobbs",QB,4.31,6.75,122,"51 mph",4.64,33.0,29
"Justice Hansen",QB,4.65,7.47,113,-,4.99,29.5,-
"K.J. Carta-Samuels",QB,4.45,7.27,116,-,5.00,35.5,-
"Keith Price",QB,4.33,7.16,110,-,4.80,32.5,-
"Keith Wenning",QB,4.25,7.07,100,"56 mph",5.00,28.0,-
"Kellen Clemens",QB,-,-,-,-,4.94,-,35
"Kellen Moore",QB,4.56,7.41,99,"52 mph",4.94,27.0,26
"Kenny Hill",QB,-,-,-,-,4.83,-,-
"Kevin Hogan",QB,4.31,6.90,113,"53 mph",4.78,32.5,38
"Kevin Kolb",QB,4.44,6.94,112,"55 mph",4.85,32.5,28
"Kevin Rodgers",QB,4.56,7.48,116,-,5.03,32.0,-
"Kirk Cousins",QB,4.50,7.05,109,"59 mph",4.93,28.5,33
"Kolton Browning",QB,4.53,7.18,108,-,4.94,29.5,-
"Kory Faulkner",QB,4.40,7.26,115,-,4.75,32.0,-
"Kurt Benkert",QB,4.33,7.15,112,"56 mph",4.95,31.0,37
"Kyle Allen",QB,4.26,-,113,-,4.76,28.5,-
"Kyle Kempt",QB,4.51,7.26,113,-,4.96,27.0,-
"Kyle Lauletta",QB,4.07,6.95,113,"52 mph",4.81,31.0,29
"Kyle Orton",QB,4.54,7.39,-,-,5.06,26.5,27
"Kyle Shurmer",QB,4.53,7.51,106,"51 mph",4.91,29.5,-
"Kyle Sloter",QB,4.61,7.53,109,"58 mph",4.84,30.5,38
"Kyler Murray",QB,-,-,-,-,-,-,20
"Lamar Jackson",QB,-,-,-,"49 mph",-,-,13
"Lamar Raynard",QB,4.31,6.91,116,-,4.94,30.0,-
"Landry Jones",QB,4.30,7.12,115,"53 mph",5.11,31.0,28
"Logan Kilgore",QB,4.26,6.99,108,-,4.94,31.0,-
"Logan Woodside",QB,4.15,6.94,103,"52 mph",4.79,31.5,-
"Luis Perez",QB,4.37,7.10,-,-,5.02,-,-
"Luke Falk",QB,-,-,103,"52 mph",-,26.5,29
"Luke McCown",QB,4.28,6.75,125,-,4.71,37.5,24
"Malik Zaire",QB,4.41,7.18,108,-,4.99,28.5,-
"Marcus Mariota",QB,4.11,6.87,121,"56 mph",4.52,36.0,33
"Marcus McMaryion",QB,4.32,-,110,-,4.81,35.0,-
"Mark Sanchez",QB,4.21,7.06,116,"55 mph",4.88,32.5,28
"Marquise Williams",QB,4.37,7.00,111,-,4.86,32.5,-
"Mason Rudolph",QB,4.56,-,107,"52 mph",4.90,26.0,28
"Matt Barkley",QB,4.58,-,-,-,4.95,-,30
"Matt Blanchard",QB,4.25,6.74,110,-,4.74,30.5,-
"Matt Cassel",QB,4.06,7.20,115,-,4.93,34.0,-
"Matt Flynn",QB,4.34,7.21,109,"50 mph",4.79,28.0,38
"Matt Hasselbeck",QB,-,-,-,-,-,-,29
"Matt McGloin",QB,4.29,7.00,108,-,4.91,28.0,-
"Matt Moore",QB,4.46,7.25,101,-,4.97,26.0,-
"Matt Ryan",QB,4.51,7.40,-,-,4.89,-,32
"Matt Schaub",QB,4.66,7.65,110,-,5.04,30.5,30
"Matt Simms",QB,4.42,7.14,108,-,4.77,29.5,-
"Matthew Stafford",QB,4.47,7.06,107,-,4.81,30.5,38
"McLeod Bethel-Thompson",QB,-,-,-,-,5.09,-,-
"Michael Vick",QB,-,-,-,-,4.38,38.0,20
"Mike Bercovici",QB,4.27,6.82,106,-,4.89,28.0,-
"Mike Glennon",QB,4.52,7.49,102,"49 mph",4.94,26.5,26
"Mike Kafka",QB,4.37,6.96,110,"52 mph",4.93,32.0,35
"Mike White",QB,4.40,7.40,96,"54 mph",5.09,27.0,27
"Mitch Leidner",QB,4.25,6.96,123,"53 mph",4.93,34.5,-
"Mitchell Trubisky",QB,4.25,6.87,116,"55 mph",4.67,27.5,25
"Nate Sudfeld",QB,4.48,7.42,105,"54 mph",4.98,29.0,28
"Nathan Peterman",QB,4.31,7.14,110,"53 mph",4.82,31.0,33
"Nic Shimonek",QB,4.32,7.28,101,"55 mph",4.88,28.5,-
"Nick Fitzgerald",QB,-,-,115,"54 mph",4.64,29.5,-
"Nick Foles",QB,4.68,7.14,112,"57 mph",5.14,30.5,29
"Nick Mullens",QB,4.47,7.40,104,-,4.95,31.0,-
"Nick Stevens",QB,4.77,7.70,97,-,5.17,22.5,-
"Pat Devlin",QB,4.32,7.08,116,"56 mph",4.86,33.0,27
"Patrick Mahomes",QB,4.08,6.88,114,"60 mph",4.80,30.0,24
"Paxton Lynch",QB,4.26,7.14,118,"59 mph",4.86,36.0,18
"Peter Pujals",QB,4.10,6.90,116,-,4.65,38.0,-
"Peyton Manning",QB,-,-,-,-,4.90,-,28
"Philip Rivers",QB,-,-,116,-,5.12,33.0,30
"Phillip Walker",QB,4.40,6.90,111,-,4.79,29.5,-
"Richard Lagow",QB,4.74,7.63,-,-,5.07,-,-
"Ricky Stanzi",QB,4.43,6.95,110,"50 mph",4.93,32.5,30
"Riley Ferguson",QB,4.40,6.96,110,"53 mph",4.98,29.0,21
