"Full Name",Position,Age,"Birth Date","Hand Size","Arm Length",College,Height,BMI,"Draft Pick","Height (Inches)",Team
"Aaron Green",RB,25.4,10/15/93,"8 5/8","30    ",TCU,"5' 11""",28.3,Undrafted,71,-
"Aaron Jones",RB,24.3,12/2/94,"9 1/2","32 1/2",UTEP,"5' 9""",30.7,5.39,69,"Green Bay Packers"
"Aaron Ripkowski",RB,26.3,12/20/92,"10 3/8","31 3/4",Oklahoma,"6' 1""",32.5,6.30,73,"Kansas City Chiefs"
"Adrian Peterson",RB,34.0,3/21/85,"9 1/2","32 1/4",Oklahoma,"6' 1""",28.6,1.07,73,Washington
"Ahmad Bradshaw",RB,33.0,3/19/86,-,-,Marshall,"5' 9""",31.6,7.40,69,-
"Akeem Hunt",RB,26.1,2/22/93,"9 5/8","31 1/8",Purdue,"5' 10""",27.1,Undrafted,70,-
"Akeem Judd",RB,26.3,12/11/92,"9 5/8","31 1/2",Mississippi,"5' 10""",32.3,Undrafted,70,-
"Akrum Wadley",RB,24.0,3/13/95,"8 1/4","29 1/2",Iowa,"5' 10""",27.8,Undrafted,70,-
"Alan Cross",RB,25.9,5/2/93,"9 1/4","31 3/4",Memphis,"6' 1""",31.7,Undrafted,73,"Tampa Bay Buccaneers"
"Alec Ingold",RB,22.7,7/19/96,"9 5/8","31 1/2",Wisconsin,"6' 1""",31.9,-,73,-
"Alex Armah",RB,24.8,5/17/94,"9 3/4","32 1/4","West Virginia","6' 2""",32.7,6.08,74,"Carolina Panthers"
"Alex Barnes",RB,22.4,10/27/96,"10    ","31    ","Kansas State","6' 0""",30.6,-,72,-
"Alex Collins",RB,24.6,8/26/94,"9 1/4","30 1/4",Arkansas,"5' 10""",31.1,5.34,70,"Baltimore Ravens"
"Alexander Mattison",RB,20.8,6/19/98,"9 1/8","31    ","Boise State","5' 11""",30.8,-,71,-
"Alfonso Smith",RB,32.2,1/23/87,-,-,Kentucky,"6' 1""",27.4,Undrafted,73,-
"Alfred Blue",RB,27.9,4/27/91,"9 7/8","32 3/8",LSU,"6' 2""",28.6,6.05,74,-
"Alfred Morris",RB,30.3,12/12/88,"10 1/4","31 3/8","Florida Atlantic","5' 10""",31.4,6.03,70,"San Francisco 49ers"
"Alonzo Harris",RB,26.4,11/9/92,"10 1/8","33 1/2",Louisiana-Lafayette,"6' 1""",29.0,Undrafted,73,-
"Alvester Alexander",RB,28.4,10/17/90,-,-,Wyoming,"5' 10""",29.6,Undrafted,70,-
"Alvin Kamara",RB,23.7,7/25/95,"9 1/4","32 3/4",Tennessee,"5' 10""",30.7,3.03,70,"New Orleans Saints"
"Ameer Abdullah",RB,25.8,6/13/93,"8 5/8","30    ",Nebraska,"5' 9""",30.3,2.22,69,"Minnesota Vikings"
"Andre Brown",RB,32.3,12/15/86,"9 1/2","32    ","NC State","6' 0""",30.8,4.29,72,-
"Andre Ellington",RB,30.1,2/3/89,"9 3/8","31    ",Clemson,"5' 9""",29.4,6.19,69,"Tampa Bay Buccaneers"
"Andre Williams",RB,26.6,8/28/92,"9    ","33 1/2","Boston College","5' 11""",32.1,4.13,71,-
"Andy Janovich",RB,25.8,5/23/93,"9 3/4","31 5/8",Nebraska,"6' 1""",31.4,6.01,73,"Denver Broncos"
"Anthony Dixon",RB,31.5,9/24/87,"9 3/4","32 1/2","Mississippi State","6' 1""",30.7,6.04,73,-
"Anthony Sherman",RB,30.3,12/11/88,"9 3/8","30    ",Connecticut,"5' 10""",34.7,5.05,70,-
