"Full Name",Position,College,Weight,"Draft Year","Birth Date"
"Aaron Green",RB,TCU,"203 lbs",2016,10/15/93
"Aaron Jones",RB,UTEP,"208 lbs",2017,12/2/94
"Aaron Ripkowski",RB,Oklahoma,"246 lbs",2015,12/20/92
"Adrian Peterson",RB,Oklahoma,"217 lbs",2007,3/21/85
"Aeris Williams",RB,"Mississippi State",-,2019,8/9/95
"Ahmad Bradshaw",RB,Marshall,"214 lbs",2007,3/19/86
"Akeem Hunt",RB,Purdue,"189 lbs",2015,2/22/93
"Akeem Judd",RB,Mississippi,"225 lbs",2017,12/11/92
"Akrum Wadley",RB,Iowa,"194 lbs",2018,3/13/95
"Alec Ingold",RB,Wisconsin,"242 lbs",2019,7/19/96
"Alex Armah",RB,"West Virginia","255 lbs",2017,5/17/94
"Alex Barnes",RB,"Kansas State","226 lbs",2019,10/27/96
"Alex Collins",RB,Arkansas,"217 lbs",2016,8/26/94
"Alexander Mattison",RB,"Boise State","221 lbs",2019,6/19/98
"Alfonso Smith",RB,Kentucky,"208 lbs",2010,1/23/87
"Alfred Blue",RB,LSU,"223 lbs",2014,4/27/91
"Alfred Morris",RB,"Florida Atlantic","219 lbs",2012,12/12/88
"Alonzo Harris",RB,Louisiana-Lafayette,"220 lbs",2015,11/9/92
"Alvester Alexander",RB,Wyoming,"206 lbs",2012,10/17/90
"Alvin Kamara",RB,Tennessee,"214 lbs",2017,7/25/95
"Ameer Abdullah",RB,Nebraska,"205 lbs",2015,6/13/93
"Andre Brown",RB,"NC State","227 lbs",2009,12/15/86
"Andre Ellington",RB,Clemson,"199 lbs",2013,2/3/89
"Andre Williams",RB,"Boston College","230 lbs",2014,8/28/92
"Andy Janovich",RB,Nebraska,"238 lbs",2016,5/23/93
"Anthony Dixon",RB,"Mississippi State","233 lbs",2010,9/24/87
"Anthony Sherman",RB,Connecticut,"242 lbs",2011,12/11/88
"Anthony Wales",RB,"Western Kentucky","197 lbs",2017,-
"Antone Smith",RB,"Florida State","190 lbs",2009,9/17/85
"Antonio Andrews",RB,"Western Kentucky","225 lbs",2014,10/15/91
"Arian Foster",RB,Tennessee,"224 lbs",2009,8/24/86
"Artavis Pierce",RB,"Oregon State",-,2019,5/17/96
"Austin Ekeler",RB,"Western State","199 lbs",2017,5/17/95
"Austin Johnson",RB,Tennessee,"241 lbs",2012,6/16/89
"Austin Walter",RB,Rice,-,2019,8/17/96
"B.J. Catalon",RB,TCU,"186 lbs",2015,-
"Ben Malena",RB,"Texas A&M","194 lbs",2014,5/29/92
"Ben Tate",RB,Auburn,"220 lbs",2010,8/21/88
"BenJarvis Green-Ellis",RB,Mississippi,"224 lbs",2008,7/2/85
"Benny Cunningham",RB,"Middle Tennessee","212 lbs",2013,7/7/90
"Benny Snell",RB,Kentucky,"224 lbs",2019,2/27/98
"Bernard Pierce",RB,Temple,"218 lbs",2012,5/10/90
