"Full Name",Position,"20-Yard Shuttle","3-Cone Drill","40-Yard Dash","Broad Jump","Vertical Jump","Bench Press"
"Aaron Green",RB,4.04,6.81,4.61,120,32.5,18
"Aaron Jones",RB,4.20,6.82,4.56,127,37.5,16
"Aaron Ripkowski",RB,4.33,7.59,4.75,113,33.0,-
"Adrian Peterson",RB,4.40,7.09,4.40,127,38.5,-
"Aeris Williams",RB,4.62,7.35,4.85,111,28.5,-
"Ahmad Bradshaw",RB,4.09,6.70,4.55,112,34.0,-
"Akeem Hunt",RB,4.07,6.71,4.44,122,37.5,14
"Akeem Judd",RB,4.35,7.47,4.59,114,32.5,21
"Akrum Wadley",RB,4.39,-,4.54,-,32.0,12
"Alec Ingold",RB,4.32,7.35,4.89,116,34.0,16
"Alex Armah",RB,4.29,7.00,4.75,122,34.5,26
"Alex Barnes",RB,4.10,6.95,4.59,126,38.5,34
"Alex Collins",RB,-,-,4.59,113,28.5,18
"Alexander Mattison",RB,4.29,7.13,4.67,127,35.0,22
"Alfonso Smith",RB,4.31,7.12,4.43,117,36.0,19
"Alfred Blue",RB,4.50,7.15,4.63,121,32.0,13
"Alfred Morris",RB,4.19,7.01,4.67,117,35.5,16
"Alonzo Harris",RB,4.51,7.18,4.71,127,36.0,15
"Alvester Alexander",RB,4.21,6.89,4.44,128,36.0,18
"Alvin Kamara",RB,4.42,7.17,4.56,131,39.5,15
"Ameer Abdullah",RB,3.95,6.79,4.60,130,42.5,24
"Andre Brown",RB,4.28,7.08,4.49,115,37.0,24
"Andre Ellington",RB,-,-,4.56,122,34.0,-
"Andre Williams",RB,4.06,7.27,4.56,129,38.0,-
"Andy Janovich",RB,4.32,7.28,4.81,119,34.0,30
"Anthony Dixon",RB,4.45,7.09,4.67,121,33.0,15
"Anthony Sherman",RB,4.41,7.23,4.75,111,32.5,32
"Anthony Wales",RB,4.23,6.83,4.56,112,37.5,13
"Antone Smith",RB,4.32,6.90,4.38,122,32.0,31
"Antonio Andrews",RB,4.49,7.24,4.82,106,29.5,20
"Arian Foster",RB,4.53,7.09,4.74,115,32.0,23
"Austin Ekeler",RB,4.21,6.85,4.48,128,40.5,-
"Austin Johnson",RB,4.37,7.32,4.76,106,30.5,25
"Austin Walter",RB,4.38,7.03,4.59,105,31.0,15
"B.J. Catalon",RB,4.15,6.90,4.57,114,36.0,-
"Ben Malena",RB,4.27,7.19,4.65,111,33.5,22
"Ben Tate",RB,4.12,6.91,4.43,124,40.5,26
"BenJarvis Green-Ellis",RB,4.50,7.56,4.60,116,34.0,24
"Benny Cunningham",RB,-,-,4.69,-,-,26
"Benny Snell",RB,4.33,7.07,4.66,119,29.5,16
"Bernard Pierce",RB,4.28,7.07,4.49,123,36.5,17
"Bilal Powell",RB,-,-,4.56,-,-,18
"Bishop Sankey",RB,4.00,6.75,4.49,126,35.5,26
"Blake Sims",RB,4.25,7.15,4.57,115,30.5,-
"Bo Scarbrough",RB,4.34,-,4.52,129,40.0,14
"Bobby Rainey",RB,4.13,6.61,4.56,120,35.5,24
"Boom Williams",RB,4.18,6.86,4.51,121,36.0,18
"Boston Scott",RB,4.15,6.67,4.45,121,38.5,21
"Bralon Addison",RB,4.14,6.95,4.66,116,34.5,13
"Branden Oliver",RB,4.22,7.04,4.65,117,33.5,26
"Brandon Bolden",RB,4.44,6.91,4.66,119,38.0,21
"Brandon Burks",RB,4.18,6.88,4.61,120,37.0,24
"Brandon Radcliff",RB,4.38,7.68,4.60,117,29.5,24
"Brandon Wegher",RB,4.43,7.18,4.56,118,37.0,23
"Brandon Wilds",RB,4.33,7.08,4.54,118,36.5,21
"Braylon Heard",RB,4.40,7.19,4.63,116,30.5,19
"Brennan Clay",RB,4.21,7.06,4.69,119,35.5,21
"Brian Hill",RB,4.32,7.03,4.54,125,34.0,15
"Bronson Hill",RB,4.30,7.33,4.52,123,38.5,25
"Bruce Anderson",RB,4.47,7.23,4.63,119,31.0,22
"Bryce Brown",RB,4.20,7.04,4.53,117,34.0,22
"Bryce Love",RB,-,-,-,-,-,18
"Buddy Howell",RB,4.51,7.55,4.60,116,27.5,19
"Byron Marshall",RB,4.19,6.99,4.61,111,29.5,17
"C.J. Anderson",RB,4.12,7.15,4.60,119,32.0,17
"C.J. Ham",RB,4.35,7.40,4.74,118,37.0,22
"C.J. Prosise",RB,4.48,7.32,4.48,121,35.5,14
"C.J. Spiller",RB,-,-,4.37,126,36.0,18
"Cameron Artis-Payne",RB,4.25,7.13,4.53,118,36.5,-
"Cameron Marshall",RB,4.38,7.06,4.59,118,36.5,22
"Carlos Hyde",RB,-,-,4.62,114,34.5,19
"Cedric Peerman",RB,4.29,6.99,4.45,117,40.0,27
"Chandler Cox",RB,4.32,7.31,4.85,111,32.0,18
"Charcandrick West",RB,4.40,7.08,4.51,130,41.0,15
"Charles Sims",RB,4.30,7.16,4.48,126,37.5,17
"Chase Edmonds",RB,4.07,6.79,4.55,122,34.0,19
