"Full Name",Position,"Arm Length","Height (Inches)",BMI,"Draft Pick","Draft Year","Hand Size"
"Aaron Green",RB,"30    ",71,28.3,Undrafted,2016,"8 5/8"
"Aaron Jones",RB,"32 1/2",69,30.7,5.39,2017,"9 1/2"
"Aaron Ripkowski",RB,"31 3/4",73,32.5,6.30,2015,"10 3/8"
"Adrian Peterson",RB,"32 1/4",73,28.6,1.07,2007,"9 1/2"
"Aeris Williams",RB,"32 1/4",72,29.2,Undrafted,2019,"10    "
"Ahmad Bradshaw",RB,-,69,31.6,7.40,2007,-
"Akeem Hunt",RB,"31 1/8",70,27.1,Undrafted,2015,"9 5/8"
"Akeem Judd",RB,"31 1/2",70,32.3,Undrafted,2017,"9 5/8"
"Akrum Wadley",RB,"29 1/2",70,27.8,Undrafted,2018,"8 1/4"
"Alec Ingold",RB,"31 1/2",73,31.9,Undrafted,2019,"9 5/8"
"Alex Armah",RB,"32 1/4",74,32.7,6.08,2017,"9 3/4"
"Alex Barnes",RB,"31    ",72,30.6,Undrafted,2019,"10    "
"Alex Collins",RB,"30 1/4",70,31.1,5.34,2016,"9 1/4"
"Alexander Mattison",RB,"31    ",71,30.8,3.38,2019,"9 1/8"
"Alfonso Smith",RB,-,73,27.4,Undrafted,2010,-
"Alfred Blue",RB,"32 3/8",74,28.6,6.05,2014,"9 7/8"
"Alfred Morris",RB,"31 3/8",70,31.4,6.03,2012,"10 1/4"
"Alonzo Harris",RB,"33 1/2",73,29.0,Undrafted,2015,"10 1/8"
"Alvester Alexander",RB,-,70,29.6,Undrafted,2012,-
"Alvin Kamara",RB,"32 3/4",70,30.7,3.03,2017,"9 1/4"
"Ameer Abdullah",RB,"30    ",69,30.3,2.22,2015,"8 5/8"
"Andre Brown",RB,"32    ",72,30.8,4.29,2009,"9 1/2"
"Andre Ellington",RB,"31    ",69,29.4,6.19,2013,"9 3/8"
"Andre Williams",RB,"33 1/2",71,32.1,4.13,2014,"9    "
"Andy Janovich",RB,"31 5/8",73,31.4,6.01,2016,"9 3/4"
"Anthony Dixon",RB,"32 1/2",73,30.7,6.04,2010,"9 3/4"
"Anthony Sherman",RB,"30    ",70,34.7,5.05,2011,"9 3/8"
"Anthony Wales",RB,"30 1/8",69,29.1,Undrafted,2017,"8 1/4"
"Antone Smith",RB,-,69,28.1,Undrafted,2009,-
"Antonio Andrews",RB,"31 1/4",70,32.3,Undrafted,2014,"9 1/2"
"Arian Foster",RB,-,73,29.6,Undrafted,2009,-
"Austin Ekeler",RB,-,69,29.4,Undrafted,2017,-
"Austin Johnson",RB,-,73,31.8,Undrafted,2012,-
"Austin Walter",RB,"29 3/8",67,30.4,Undrafted,2019,"9 1/4"
"B.J. Catalon",RB,"30    ",67,29.1,Undrafted,2015,"9    "
"Ben Malena",RB,"28 3/4",68,29.5,Undrafted,2014,"9    "
"Ben Tate",RB,"31 1/4",71,30.7,2.26,2010,"9    "
"BenJarvis Green-Ellis",RB,-,71,31.2,Undrafted,2008,-
"Benny Cunningham",RB,-,70,30.4,Undrafted,2013,-
"Benny Snell",RB,"31    ",70,32.1,4.20,2019,"9 3/8"
"Bernard Pierce",RB,"31 1/2",72,29.6,3.21,2012,"9 1/4"
"Bilal Powell",RB,"30 3/4",70,29.3,4.29,2011,"8 5/8"
"Bishop Sankey",RB,"31    ",70,30.0,2.22,2014,"10    "
"Blake Sims",RB,"31 1/2",71,30.4,Undrafted,2015,"9    "
"Bo Scarbrough",RB,"33 1/2",73,30.1,7.18,2018,"10    "
"Bobby Rainey",RB,"30 1/8",68,32.2,Undrafted,2012,"8 5/8"
"Boom Williams",RB,"30    ",67,29.8,Undrafted,2017,"8 5/8"
"Boston Scott",RB,"29 7/8",67,30.5,6.27,2018,"9 3/8"
"Bralon Addison",RB,"29 1/2",69,29.1,Undrafted,2016,"9 1/8"
"Branden Oliver",RB,"29 1/4",68,31.6,Undrafted,2014,"8 7/8"
"Brandon Bolden",RB,"32 1/4",71,30.0,Undrafted,2012,"10    "
"Brandon Burks",RB,"29 1/4",69,30.7,Undrafted,2016,"8 1/4"
"Brandon Radcliff",RB,"29 1/4",69,30.4,Undrafted,2017,"9 1/4"
"Brandon Wegher",RB,"29 3/4",70,30.6,Undrafted,2015,"9 3/8"
"Brandon Wilds",RB,"32    ",73,29.0,Undrafted,2016,"10 1/4"
"Braylon Heard",RB,"30 1/4",70,28.4,Undrafted,2015,"9    "
"Brennan Clay",RB,"30    ",71,28.3,Undrafted,2014,"8 7/8"
"Brian Hill",RB,"31 3/8",73,28.9,5.12,2017,"8 7/8"
"Bronson Hill",RB,"30 1/2",70,30.8,Undrafted,2015,"9 7/8"
