"Full Name",Position,"20-Yard Shuttle","3-Cone Drill","40-Yard Dash","Broad Jump","Vertical Jump","Bench Press"
"A.J. Hendy",S,4.16,7.03,4.61,135,40.5,-
"A.J. Moore",S,4.38,7.27,4.45,122,34.0,-
"Adrian Amos",S,4.03,7.09,4.56,122,35.5,-
"Adrian Colbert",S,4.31,7.24,4.54,117,33.5,-
"Adrian Phillips",S,4.29,7.10,4.63,115,35.5,-
"Afolabi Laguda",S,4.44,7.14,4.69,126,36.0,-
"Amani Hooker",S,4.10,6.81,4.48,123,37.0,-
"Andre Hal",S,4.27,7.14,4.50,119,35.5,-
"Andrew Adams",S,4.32,6.96,4.59,118,33.0,-
"Andrew Sendejo",S,4.04,6.87,4.70,121,34.0,-
"Andrew Wingard",S,4.20,7.08,4.56,121,36.5,-
"Anthony Harris",S,-,-,4.56,-,-,-
"Anthony Levine",S,4.05,6.75,4.53,114,35.0,-
"Antoine Bethea",S,4.13,6.99,4.39,-,36.5,-
"Antone Exum",S,4.13,7.05,4.59,117,35.0,-
"Antonio Allen",S,4.25,7.02,4.58,118,34.0,-
"Armani Watts",S,4.37,7.25,4.69,120,35.0,-
"Avonte Maddox",S,4.00,6.51,4.39,125,37.0,-
"Bacarri Rambo",S,4.26,6.94,4.56,117,34.5,-
"Barry Church",S,4.17,6.65,4.69,121,36.0,-
"Bernard Pollard",S,-,-,4.57,131,36.5,-
"Blake Countess",S,4.19,6.85,4.53,121,36.5,-
"Bradley McDougald",S,4.44,7.07,4.74,122,34.5,-
"Brandon Bryant",S,4.23,7.26,4.50,123,34.0,-
"Brandon King",S,4.47,7.28,4.54,126,38.0,-
"Brandon Wilson",S,4.42,7.09,4.45,133,41.0,-
"Brynden Trawick",S,4.39,6.76,4.66,126,36.5,-
"Budda Baker",S,4.08,6.76,4.45,115,32.5,-
"Calvin Pryor",S,4.30,6.98,4.58,115,34.5,-
"Chanceller James",S,4.27,7.07,4.66,121,31.0,-
"Charles Washington",S,4.48,7.23,4.53,125,41.0,-
"Charlie Miller",S,4.24,7.10,4.52,121,33.5,-
"Chauncey Gardner-Johnson",S,4.20,7.03,4.48,117,36.0,-
"Chris Banjo",S,4.27,7.19,4.55,124,39.5,-
"Chris Conte",S,4.19,7.01,4.52,127,35.5,-
"Chris Culliver",S,4.08,6.88,4.42,123,38.5,-
"Chris Lammons",S,4.25,7.04,4.53,116,35.0,-
"Chris Maragos",S,3.98,6.52,4.54,121,36.0,-
"Chris Prosinski",S,4.28,6.85,4.44,134,39.5,-
"Chuck Clark",S,4.07,6.85,4.54,122,34.0,-
"Clayton Fejedelem",S,4.30,7.17,4.59,121,40.5,-
"Clayton Geathers",S,4.27,7.21,4.55,120,37.0,-
"Cody Davis",S,4.01,6.77,4.46,123,41.5,-
"Colin Jones",S,4.04,6.69,4.43,124,37.0,-
"Colt Anderson",S,4.19,6.85,4.58,123,36.5,-
"Corey Moore",S,4.40,7.06,4.61,120,32.0,-
