"Full Name",Position,"Arm Length","Height (Inches)",BMI,"Draft Pick","Draft Year","Hand Size"
"A.J. Hendy",S,"31 3/4",73,27.4,Undrafted,2016,"9 3/4"
"A.J. Moore",S,"32 1/8",71,27.9,Undrafted,2018,"8 3/4"
"Adrian Amos",S,"32 1/4",73,28.8,5.06,2015,"9 1/8"
"Adrian Colbert",S,"31 3/4",72,27.1,7.11,2017,"8    "
"Adrian Phillips",S,"31 1/8",71,29.3,Undrafted,2014,"8 3/8"
"Afolabi Laguda",S,"33 3/8",72,27.5,Undrafted,2018,"10    "
"Amani Hooker",S,"30 1/8",71,29.3,4.14,2019,"9 1/8"
"Andre Hal",S,"30 1/2",70,27.0,7.01,2014,"8 5/8"
"Andrew Adams",S,"31 3/4",71,28.0,Undrafted,2016,"9 1/4"
"Andrew Sendejo",S,-,73,27.4,Undrafted,2010,-
"Andrew Wingard",S,"30 1/2",72,28.3,Undrafted,2019,"8 5/8"
"Anthony Harris",S,"32    ",73,24.1,Undrafted,2015,"9 1/4"
"Anthony Levine",S,-,71,26.9,Undrafted,2010,-
"Antoine Bethea",S,-,71,28.3,6.38,2006,-
"Antone Exum",S,"31 5/8",72,28.9,6.06,2014,"9 5/8"
"Antonio Allen",S,"32 1/2",74,27.0,7.35,2012,"9 3/8"
"Armani Watts",S,"33 1/2",73,27.2,4.24,2018,"8 3/4"
"Avonte Maddox",S,"29 1/2",69,27.2,4.25,2018,"8 3/4"
"Bacarri Rambo",S,"31    ",73,27.8,6.23,2013,"9 1/4"
"Barry Church",S,"33 1/4",74,28.5,Undrafted,2010,"9 3/8"
"Bernard Pollard",S,-,74,28.8,2.22,2006,-
"Blake Countess",S,"28 3/4",69,27.2,6.21,2016,"8 1/2"
"Bradley McDougald",S,"32 1/2",73,28.4,Undrafted,2013,"9 1/8"
"Brandon Bryant",S,-,71,30.0,Undrafted,2018,-
"Brandon King",S,"31    ",74,27.9,Undrafted,2015,"8 7/8"
"Brandon Wilson",S,"30 1/2",70,28.4,6.23,2017,"9    "
"Brynden Trawick",S,"31 1/8",74,28.4,Undrafted,2013,"9 3/8"
"Budda Baker",S,"30 3/4",70,28.0,2.04,2017,"9    "
"Calvin Pryor",S,"31 3/8",71,28.9,1.18,2014,"9 1/8"
"Chanceller James",S,"32    ",74,27.6,Undrafted,2017,"10 1/4"
"Charles Washington",S,"30    ",70,27.3,Undrafted,2016,"10    "
"Charlie Miller",S,"33 1/4",72,25.8,Undrafted,2017,"10 1/4"
"Chauncey Gardner-Johnson",S,"30 7/8",71,29.3,4.03,2019,"9 1/4"
"Chris Banjo",S,-,70,29.6,Undrafted,2012,-
"Chris Conte",S,"30 1/2",74,25.3,3.29,2011,"9 1/8"
"Chris Culliver",S,"31 1/4",72,27.0,3.16,2011,"8 5/8"
"Chris Lammons",S,"31 5/8",69,28.6,Undrafted,2018,"9    "
"Chris Maragos",S,-,71,27.9,Undrafted,2010,-
"Chris Prosinski",S,-,73,26.5,4.24,2011,-
"Chuck Clark",S,"32 1/4",72,28.2,6.02,2017,"9    "
