"Full Name",Position,"Draft Year",College,"Vertical Jump","40-Yard Dash","Broad Jump","Bench Press","3-Cone Drill","20-Yard Shuttle","Breakout Age","Breakout Year"
"A.C. Leonard",TE,2014,"Tennessee State",34.0,4.50,128,20,7.14,4.39,20.6,2012
"A.J. Derby",TE,2015,Arkansas,-,4.77,-,15,6.99,4.51,-,-
"Adam Shaheen",TE,2017,Ashland,32.5,4.79,121,24,7.09,4.38,20.9,2015
"Adrien Robinson",TE,2012,Cincinnati,39.5,4.61,135,15,7.10,4.43,-,-
"Alan Cross",TE,2016,Memphis,30.5,4.89,109,17,7.44,4.58,19.3,2012
"Alex Bayer",TE,2014,"Bowling Green",31.5,4.82,111,20,7.26,4.42,21.8,2012
"Alex Ellis",TE,2016,Tennessee,34.5,4.84,121,20,6.87,4.37,-,-
"Alize Mack",TE,2019,"Notre Dame",36.0,4.70,120,22,7.27,4.34,-,-
"Andre Hardy",TE,2013,"Cal State Fullerton",-,4.75,-,-,-,-,-,-
"Andrew Quarless",TE,2010,"Penn State",32.0,4.69,119,23,7.29,4.57,17.9,2006
"Andrew Vollert",TE,2018,"Weber State",32.0,4.65,117,12,6.90,4.08,21.5,2016
"Anthony Denham",TE,2014,Utah,32.5,4.77,113,14,7.38,4.56,-,-
"Anthony Fasano",TE,2006,"Notre Dame",33.5,4.77,112,19,6.94,4.34,-,-
"Anthony Firkser",TE,2017,Harvard,31.5,4.87,110,21,7.06,4.29,19.5,2014
"Anthony McCoy",TE,2010,USC,35.5,4.71,113,19,6.99,4.57,-,-
"Antonio Gates",TE,2003,"Kent State",39.0,4.60,126,-,-,-,-,-
"Antony Auclair",TE,2017,Laval,33.5,4.95,117,22,7.30,4.37,-,-
"Arthur Lynch",TE,2014,Georgia,29.5,4.82,116,28,7.38,4.35,-,-
"Asa Watson",TE,2014,"NC State",32.0,4.74,117,26,7.00,4.40,-,-
"Asante Cleveland",TE,2014,Miami,32.5,4.93,116,20,7.33,4.45,-,-
"Austin Hooper",TE,2016,Stanford,33.0,4.72,117,19,7.00,4.32,20.9,2015
"Austin Roberts",TE,2018,UCLA,28.5,4.73,116,21,7.65,4.60,-,-
"Austin Seferian-Jenkins",TE,2014,Washington,35.5,4.73,115,20,6.97,4.23,18.9,2011
"Austin Traylor",TE,2016,Wisconsin,33.5,4.96,113,16,7.44,4.70,22.0,2015
"Barrett Burns",TE,2017,"Appalachian State",28.5,5.04,115,19,7.17,4.57,21.5,2015
"Beau Gardner",TE,2015,"Northern Arizona",41.0,4.79,118,22,7.12,4.48,-,-
"Beau Sandland",TE,2016,"Montana State",35.0,4.74,124,23,7.10,4.33,22.5,2015
"Ben Braunecker",TE,2016,Harvard,35.5,4.73,121,20,6.90,4.20,21.6,2015
"Ben Johnson",TE,2018,Kansas,33.0,5.04,114,17,7.26,4.39,-,-
"Ben Koyack",TE,2015,"Notre Dame",30.0,4.73,116,16,7.32,4.52,-,-
"Ben Watson",TE,2004,Georgia,35.5,4.57,123,34,7.39,4.15,-,-
"Billy Brown",TE,2017,Shepherd,29.0,4.70,118,23,6.90,4.48,21.5,2014
"Billy Freeman",TE,2017,"San Jose State",30.5,4.79,112,22,7.18,4.62,22.0,2015
"Blake Annen",TE,2014,Cincinnati,34.0,4.46,120,25,7.19,4.30,-,-
"Blake Bell",TE,2015,Oklahoma,33.0,4.80,116,14,6.85,4.32,23.1,2014
"Blake Jackson",TE,2014,"Oklahoma State",29.5,4.86,113,14,7.56,4.56,-,-
"Blake Jarwin",TE,2017,"Oklahoma State",34.5,4.74,121,21,7.37,4.34,-,-
"Blake Mack",TE,2018,"Arkansas State",33.0,4.77,117,21,7.33,4.51,20.4,2016
"Braedon Bowman",TE,2016,"South Alabama",35.5,4.72,114,26,7.10,4.37,-,-
"Brandon Barnes",TE,2017,"Alabama State",35.5,4.77,114,20,7.03,4.69,21.3,2015
"Brandon Bostick",TE,2012,"Newberry College",36.0,4.64,121,19,7.41,4.25,20.3,2009
"Brandon Myers",TE,2009,Iowa,31.0,4.83,116,17,7.36,4.45,22.0,2007
"Brandon Pettigrew",TE,2009,"Oklahoma State",33.0,4.83,118,22,7.12,4.37,22.5,2007
"Brandon Williams",TE,2013,Oregon,36.0,4.61,128,26,7.25,4.53,-,-
"Braxton Deaver",TE,2016,Duke,31.5,4.85,110,26,7.50,4.44,21.3,2013
"Brent Celek",TE,2007,Cincinnati,33.0,4.84,112,19,7.20,4.31,20.6,2005
"Brian Parker",TE,2015,Albany,38.5,4.80,119,25,7.03,4.40,21.3,2013
"Bryce Williams",TE,2016,"East Carolina",29.5,4.94,111,19,7.19,4.53,22.5,2015
"Bucky Hodges",TE,2017,"Virginia Tech",39.0,4.57,134,18,-,4.45,19.1,2014
"C.J. Conrad",TE,2019,Kentucky,-,-,-,-,-,-,20.3,2016
"C.J. Fiedorowicz",TE,2014,Iowa,31.5,4.76,116,25,7.10,4.26,20.9,2012
"C.J. Uzomah",TE,2015,Auburn,31.0,4.67,118,19,7.22,4.57,-,-
"Caleb Wilson",TE,2019,UCLA,29.0,4.56,113,-,7.20,4.40,22.1,2018
"Cam Serigne",TE,2018,"Wake Forest",32.0,5.02,109,17,7.09,4.34,20.1,2014
"Cameron Brate",TE,2014,Harvard,33.5,4.82,117,24,7.16,4.48,20.2,2011
"Cameron Clear",TE,2015,"Texas A&M",32.0,4.98,108,-,7.52,4.48,-,-
"Casey Pierce",TE,2015,"Kent State",36.5,4.82,118,19,6.97,4.22,22.0,2013
"Cethan Carter",TE,2017,Nebraska,-,4.68,-,19,-,-,-,-
"Charles Clay",TE,2011,Tulsa,33.5,4.73,118,18,7.07,4.15,18.6,2007
"Chase Coffman",TE,2009,Missouri,-,4.88,-,-,-,-,18.8,2005
"Chase Dixon",TE,2014,"Central Arkansas",-,4.78,-,-,-,-,22.3,2013
"Chase Ford",TE,2012,"Miami (FL)",33.0,4.80,110,20,7.34,4.35,-,-
"Chris Bazile",TE,2016,"Grambling State",29.5,4.90,-,23,-,-,-,-
"Chris Coyle",TE,2014,"Arizona State",30.5,5.00,108,16,7.20,4.46,21.5,2012
"Chris Gragg",TE,2013,Arkansas,37.5,4.50,125,18,7.08,4.35,-,-
"Chris Herndon",TE,2018,Miami,34.0,-,116,21,7.38,4.59,21.5,2017
"Clay Harbor",TE,2010,"Missouri State",40.0,4.69,120,30,7.12,4.36,21.2,2008
"Clive Walford",TE,2015,Miami,35.0,4.79,120,20,7.32,4.57,20.9,2012
"Coby Fleener",TE,2012,Stanford,37.0,4.56,116,27,7.02,4.30,22.0,2010
"Cole Hikutini",TE,2017,Louisville,34.5,4.90,120,20,7.22,4.57,19.2,2013
"Cole Hunt",TE,2018,TCU,32.0,4.88,115,21,7.15,4.37,-,-
"Cole Wick",TE,2016,"Incarnate Word",36.5,4.98,125,14,7.16,4.32,20.8,2014
"Colin Thompson",TE,2017,Temple,28.0,5.06,108,18,7.42,4.65,-,-
"Colt Lyerla",TE,2014,Oregon,39.0,4.61,128,15,6.92,4.11,19.8,2012
"Cooper Helfet",TE,2012,Duke,32.0,4.71,119,24,6.82,4.22,21.3,2010
"Craig Stevens",TE,2008,California,27.5,4.59,114,27,7.07,4.31,-,-
"Crockett Gillmore",TE,2014,"Colorado State",33.5,4.89,120,18,7.42,4.44,19.8,2011
"D.J. Williams",TE,2011,Arkansas,33.5,4.57,111,20,7.29,4.51,20.0,2008
"Dallas Goedert",TE,2018,"South Dakota State",35.0,-,121,23,7.02,4.31,21.7,2016
"Dalton Schultz",TE,2018,Stanford,32.0,4.75,120,15,7.00,4.40,-,-
"Damon Gibson",TE,2018,"MN Moorhead",37.5,4.67,-,18,-,-,19.4,2015
"Dan Arnold",TE,2017,"WI Platteville",39.5,4.68,127,12,6.81,4.30,20.5,2015
"Daniel Brown",TE,2015,"James Madison",31.5,4.65,116,11,6.86,4.18,21.3,2013
"Daniel Fells",TE,2006,"UC Davis",29.5,4.95,108,19,7.29,4.52,-,-
"Daniel Helm",TE,2019,Duke,-,4.89,-,14,-,-,-,-
"Dante Rosario",TE,2007,Oregon,36.0,4.76,115,20,6.96,4.47,-,-
"Darion Griswold",TE,2016,"Arkansas State",31.5,4.87,107,17,7.50,4.84,20.7,2013
"Darrell Daniels",TE,2017,Washington,32.0,4.55,116,17,7.09,4.47,-,-
"Darren Waller",TE,2015,"Georgia Tech",37.0,4.46,125,12,7.07,4.25,22.0,2014
