"Full Name",Position,"20-Yard Shuttle","3-Cone Drill","40-Yard Dash","Broad Jump","Vertical Jump","Bench Press"
"A.C. Leonard",TE,4.39,7.14,4.50,128,34.0,20
"A.J. Derby",TE,4.51,6.99,4.77,-,-,15
"Adam Shaheen",TE,4.38,7.09,4.79,121,32.5,24
"Adrien Robinson",TE,4.43,7.10,4.61,135,39.5,15
"Alan Cross",TE,4.58,7.44,4.89,109,30.5,17
"Alex Bayer",TE,4.42,7.26,4.82,111,31.5,20
"Alex Ellis",TE,4.37,6.87,4.84,121,34.5,20
"Alize Mack",TE,4.34,7.27,4.70,120,36.0,22
"Andre Hardy",TE,-,-,4.75,-,-,-
"Andrew Beck",TE,4.26,7.34,4.68,119,34.0,23
"Andrew Quarless",TE,4.57,7.29,4.69,119,32.0,23
"Andrew Vollert",TE,4.08,6.90,4.65,117,32.0,12
"Anthony Denham",TE,4.56,7.38,4.77,113,32.5,14
"Anthony Fasano",TE,4.34,6.94,4.77,112,33.5,19
"Anthony Firkser",TE,4.29,7.06,4.87,110,31.5,21
"Anthony McCoy",TE,4.57,6.99,4.71,113,35.5,19
"Antonio Gates",TE,-,-,4.60,126,39.0,-
"Antony Auclair",TE,4.37,7.30,4.95,117,33.5,22
"Arthur Lynch",TE,4.35,7.38,4.82,116,29.5,28
"Asa Watson",TE,4.40,7.00,4.74,117,32.0,26
"Asante Cleveland",TE,4.45,7.33,4.93,116,32.5,20
"Austin Hooper",TE,4.32,7.00,4.72,117,33.0,19
"Austin Roberts",TE,4.60,7.65,4.73,116,28.5,21
"Austin Seferian-Jenkins",TE,4.23,6.97,4.73,115,35.5,20
"Austin Traylor",TE,4.70,7.44,4.96,113,33.5,16
"Barrett Burns",TE,4.57,7.17,5.04,115,28.5,19
"Beau Gardner",TE,4.48,7.12,4.79,118,41.0,22
"Beau Sandland",TE,4.33,7.10,4.74,124,35.0,23
"Ben Braunecker",TE,4.20,6.90,4.73,121,35.5,20
"Ben Johnson",TE,4.39,7.26,5.04,114,33.0,17
"Ben Koyack",TE,4.52,7.32,4.73,116,30.0,16
"Ben Watson",TE,4.15,7.39,4.57,123,35.5,34
"Billy Brown",TE,4.48,6.90,4.70,118,29.0,23
"Billy Freeman",TE,4.62,7.18,4.79,112,30.5,22
"Blake Annen",TE,4.30,7.19,4.46,120,34.0,25
"Blake Bell",TE,4.32,6.85,4.80,116,33.0,14
"Blake Jackson",TE,4.56,7.56,4.86,113,29.5,14
"Blake Jarwin",TE,4.34,7.37,4.74,121,34.5,21
"Blake Mack",TE,4.51,7.33,4.77,117,33.0,21
"Braedon Bowman",TE,4.37,7.10,4.72,114,35.5,26
"Brandon Barnes",TE,4.69,7.03,4.77,114,35.5,20
"Brandon Bostick",TE,4.25,7.41,4.64,121,36.0,19
"Brandon Myers",TE,4.45,7.36,4.83,116,31.0,17
"Brandon Pettigrew",TE,4.37,7.12,4.83,118,33.0,22
"Brandon Williams",TE,4.53,7.25,4.61,128,36.0,26
"Braxton Deaver",TE,4.44,7.50,4.85,110,31.5,26
"Brent Celek",TE,4.31,7.20,4.84,112,33.0,19
"Brian Parker",TE,4.40,7.03,4.80,119,38.5,25
"Bryce Williams",TE,4.53,7.19,4.94,111,29.5,19
"Bucky Hodges",TE,4.45,-,4.57,134,39.0,18
"C.J. Conrad",TE,4.41,7.14,4.85,113,33.0,21
"C.J. Fiedorowicz",TE,4.26,7.10,4.76,116,31.5,25
