"Full Name",Position,"Arm Length","Height (Inches)",BMI,"Draft Pick","Draft Year","Hand Size"
"A.C. Leonard",TE,"33    ",74,32.4,Undrafted,2014,"9 1/4"
"A.J. Derby",TE,"30 1/2",76,31.0,6.26,2015,"9 1/2"
"Adam Shaheen",TE,"33 1/2",78,32.1,2.13,2017,"9 5/8"
"Adam Zaruba",TE,-,77,31.4,Undrafted,2017,-
"Adrien Robinson",TE,-,76,32.1,4.32,2012,-
"Alan Cross",TE,"31 3/4",73,31.7,Undrafted,2016,"9 1/4"
"Alex Bayer",TE,"32 5/8",76,31.4,Undrafted,2014,"9 3/4"
"Alex Ellis",TE,"32 1/8",76,30.8,Undrafted,2016,"9 1/2"
"Alex Gray",TE,-,76,28.1,Undrafted,2017,-
"Alize Mack",TE,"33 3/4",76,30.3,7.17,2019,"9 3/8"
"Andre Hardy",TE,-,78,28.3,Undrafted,2013,-
"Andrew Beck",TE,"30 1/4",75,31.5,Undrafted,2019,"9 1/8"
"Andrew Quarless",TE,"34    ",76,30.7,5.23,2010,"10 1/4"
"Andrew Vollert",TE,"30 3/8",78,27.6,Undrafted,2018,"9 1/4"
"Anthony Denham",TE,"33 3/8",75,29.4,Undrafted,2014,"10 1/2"
"Anthony Fasano",TE,-,76,31.0,2.21,2006,-
"Anthony Firkser",TE,"31 1/4",74,31.6,Undrafted,2017,"9 7/8"
"Anthony McCoy",TE,"34    ",76,31.5,6.16,2010,"10 3/8"
"Antonio Gates",TE,-,76,31.0,Undrafted,2003,-
"Antony Auclair",TE,"34 1/4",77,30.4,Undrafted,2017,"10 7/8"
"Arthur Lynch",TE,"32 1/2",77,30.6,5.15,2014,"10 1/8"
"Asa Watson",TE,"32 5/8",74,30.7,Undrafted,2014,"9 1/2"
"Asante Cleveland",TE,"34 3/4",77,30.9,Undrafted,2014,"10 1/4"
"Austin Hooper",TE,"33 3/4",76,30.9,3.18,2016,"10 5/8"
"Austin Roberts",TE,"31 1/2",74,30.0,Undrafted,2018,"10    "
"Austin Seferian-Jenkins",TE,"33 3/4",78,30.3,2.06,2014,"9 3/4"
"Austin Traylor",TE,"33 1/4",75,31.2,Undrafted,2016,"9 1/8"
"Barrett Burns",TE,"31 5/8",75,31.1,Undrafted,2017,"8 3/4"
"Beau Gardner",TE,"31 1/2",76,29.2,Undrafted,2015,"9 7/8"
"Beau Sandland",TE,"34 1/4",76,30.8,7.31,2016,"10 1/8"
"Ben Braunecker",TE,"32 3/4",75,31.2,Undrafted,2016,"9 1/2"
"Ben Johnson",TE,"30 1/2",76,29.9,Undrafted,2018,"9 3/4"
"Ben Koyack",TE,"32 5/8",77,30.2,7.12,2015,"10 3/4"
"Ben Watson",TE,"33    ",75,31.9,1.32,2004,"10    "
"Billy Brown",TE,"33    ",76,31.0,Undrafted,2017,"10 3/8"
"Billy Freeman",TE,"30 1/2",74,30.3,Undrafted,2017,"9 1/4"
"Blake Annen",TE,"33    ",76,30.1,Undrafted,2014,"9 7/8"
"Blake Bell",TE,"33 1/8",78,29.1,4.18,2015,"10    "
"Blake Jackson",TE,"33 7/8",76,28.0,Undrafted,2014,"9 1/4"
"Blake Jarwin",TE,"34 1/8",77,29.2,Undrafted,2017,"9 7/8"
"Blake Mack",TE,"33    ",74,30.2,Undrafted,2018,"9 1/2"
"Braedon Bowman",TE,"31 1/8",75,30.0,Undrafted,2016,"9 3/4"
"Brandon Barnes",TE,"35    ",77,30.2,Undrafted,2017,"10 3/4"
"Brandon Bostick",TE,"34 1/8",75,30.6,Undrafted,2012,-
"Brandon Myers",TE,-,76,30.4,6.29,2009,-
"Brandon Pettigrew",TE,"34 7/8",77,31.4,1.20,2009,"10 3/4"
"Brandon Williams",TE,-,76,30.4,Undrafted,2013,-
