"Full Name",Position,"Birth Date",Age,"Hand Size","Arm Length",College,Height,BMI,"Draft Pick","Height (Inches)",Team
"A.J. Brown",WR,6/30/1997,21.7,"9 3/4","32 7/8",Mississippi,"6' 0""",30.6,-,72,-
"A.J. Green",WR,7/31/1988,30.6,"9 1/4","34 3/8",Georgia,"6' 4""",25.7,1.04,76,"Cincinnati Bengals"
"A.J. Jenkins",WR,9/30/1989,29.5,"9 1/2","32 3/4",Illinois,"6' 0""",26.0,1.30,72,-
"Aaron Burbridge",WR,12/23/1993,25.2,"8 1/4","31 5/8","Michigan State","6' 0""",27.9,6.38,72,"Denver Broncos"
"Aaron Dobson",WR,7/23/1991,27.7,"9    ","33    ",Marshall,"6' 3""",26.2,2.27,75,-
"Aaron Mellette",WR,12/28/1989,29.2,"9 5/8","33 1/8","Elon College","6' 2""",27.9,7.32,74,-
"Ace Sanders",WR,11/11/1991,27.4,"8 7/8","29 1/2","South Carolina","5' 7""",27.1,4.04,67,-
"Adam Humphries",WR,6/24/1993,25.7,"9 1/4","30    ",Clemson,"5' 11""",27.2,Undrafted,71,"Tennessee Titans"
"Adam Thielen",WR,8/22/1990,28.6,-,-,"Minnesota State","6' 3""",25.0,Undrafted,75,"Minnesota Vikings"
"Adrian Coxson",WR,8/14/1992,26.6,"9 3/4","31 3/4","Stony Brook","6' 1""",28.4,Undrafted,73,-
"Ahmad Fulwood",WR,1/10/1995,24.2,"9 1/4","32    ",Florida,"6' 4""",24.6,Undrafted,76,-
"Alan Bonner",WR,11/5/1990,28.4,"9 3/8","30 1/4","Jacksonville State","5' 10""",27.7,6.27,70,-
"Albert Wilson",WR,7/12/1992,26.7,"9 1/8","30 3/8","Georgia State","5' 9""",29.8,Undrafted,69,"Miami Dolphins"
"Aldrick Robinson",WR,11/24/1988,30.3,"8 3/4","29 1/2",SMU,"5' 10""",26.4,6.13,70,"Minnesota Vikings"
"Alex Erickson",WR,11/6/1992,26.4,"9    ","30    ",Wisconsin,"6' 0""",26.4,Undrafted,72,"Cincinnati Bengals"
"Alex Neutz",WR,3/2/1991,28.1,"9 1/4","32 1/2",Buffalo,"6' 3""",26.7,Undrafted,75,-
"Alex Wesley",WR,-,-,"9    ","31 1/4","Northern Colorado","6' 0""",25.8,-,72,-
"Allen Hurns",WR,11/12/1991,27.4,"9 1/4","32    ","Miami (FL)","6' 1""",27.0,Undrafted,73,"Dallas Cowboys"
"Allen Lazard",WR,12/11/1995,23.3,"9 3/4","32 1/4","Iowa State","6' 3""",28.1,Undrafted,75,"Green Bay Packers"
"Allen Robinson",WR,8/24/1993,25.6,"9 1/2","32    ","Penn State","6' 2""",28.2,2.29,74,"Chicago Bears"
"Allenzae Staggers",WR,-,-,"8 7/8","31 7/8","S. Mississippi","6' 0""",24.5,Undrafted,72,-
"Alonzo Moore",WR,11/10/1992,26.4,"9 7/8","31 5/8",Nebraska,"6' 0""",27.0,Undrafted,72,-
"Alonzo Russell",WR,9/29/1992,26.5,"9 1/2","33 7/8",Toledo,"6' 4""",25.1,Undrafted,76,"New York Giants"
"Alshon Jeffery",WR,2/14/1990,29.1,"10 1/4","33    ","South Carolina","6' 3""",27.0,2.13,75,"Philadelphia Eagles"
"Amara Darboh",WR,2/1/1994,25.1,"9 7/8","32 5/8",Michigan,"6' 2""",27.5,3.42,74,"Seattle Seahawks"
"Amari Cooper",WR,6/19/1994,24.8,"10    ","31 1/2",Alabama,"6' 1""",27.8,1.04,73,"Dallas Cowboys"
"Amba Etta-Tawo",WR,11/10/1993,25.4,"9 1/8","32    ",Syracuse,"6' 1""",27.4,Undrafted,73,-
"Anas Hasic",WR,-,-,"9 1/4","31    ","West Florida","5' 11""",29.6,Undrafted,71,-
"Andre Caldwell",WR,4/15/1985,33.9,"9    ","32 1/4",Florida,"6' 0""",27.1,3.34,72,-
"Andre Davis",WR,9/1/1993,25.6,"9 1/4","33 1/4","South Florida","6' 1""",27.0,Undrafted,73,-
"Andre Debose",WR,9/12/1990,28.5,"8 5/8","32 1/4",Florida,"6' 0""",26.4,7.04,72,-
"Andre Holmes",WR,6/16/1988,30.8,"8 5/8","34    ",Hillsdale,"6' 4""",27.1,Undrafted,76,-
"Andre Johnson",WR,7/11/1981,37.7,"9 1/8","34    ","Miami (FL)","6' 2""",28.9,1.03,74,-
"Andre Levrone",WR,3/9/1995,24.0,"9 1/2","32    ",Virginia,"6' 3""",27.0,Undrafted,75,"Carolina Panthers"
"Andre Patton",WR,5/28/1994,24.8,"9 3/4","31 7/8",Rutgers,"6' 2""",25.4,Undrafted,74,"Los Angeles Chargers"
"Andre Roberts",WR,1/9/1988,31.2,"9 1/2","31 1/2",Citadel,"5' 11""",27.2,3.24,71,"Buffalo Bills"
"Andrew Hawkins",WR,3/10/1986,33.0,-,-,Toledo,"5' 7""",27.4,Undrafted,67,-
"Andy Cruse",WR,1/13/1990,29.2,-,-,"Miami (OH)","6' 3""",26.5,Undrafted,75,-
"Andy Isabella",WR,11/18/1996,22.3,"8 3/8","29 3/4",Massachusetts,"5' 9""",27.8,-,69,-
"Andy Jones",WR,6/28/1994,24.7,"9 3/8","32    ",Jacksonville,"6' 1""",28.6,Undrafted,73,"Detroit Lions"
"Anquan Boldin",WR,10/3/1980,38.5,"9 7/8","30    ","Florida State","6' 1""",29.0,2.22,73,-
"Anthony Dable",WR,9/25/1988,30.5,-,-,None,"6' 5""",25.5,Undrafted,77,-
"Anthony Johnson",WR,1/29/1995,24.1,"9 3/8","31 3/8",Buffalo,"6' 2""",26.8,-,74,-
"Anthony Miller",WR,10/9/1994,24.4,"10 5/8","31 5/8",Memphis,"5' 11""",28.0,2.19,71,"Chicago Bears"
"Anthony Warrum",WR,7/10/1994,24.7,"9    ","30 1/8","Illinois State","6' 0""",25.8,Undrafted,72,-
"Antoine Wesley",WR,10/22/1997,21.4,"9 3/4","34    ","Texas Tech","6' 4""",25.1,-,76,-
"Antonio Brown",WR,7/10/1988,30.7,"9    ","31    ","Central Michigan","5' 10""",26.7,6.26,70,"Oakland Raiders"
"Antonio Callaway",WR,1/8/1997,22.2,"9 1/2","31 1/2",Florida,"5' 11""",27.9,4.05,71,"Cleveland Browns"
"Antwan Goodley",WR,9/6/1991,27.5,"9 1/4","30 3/4",Baylor,"5' 10""",30.0,Undrafted,70,-
"Antwane Grant",WR,4/14/1993,25.9,"9 1/4","31    ","Western Kentucky","6' 0""",27.4,Undrafted,72,-
"ArDarius Stewart",WR,12/8/1993,25.3,"9 3/8","32 1/2",Alabama,"5' 11""",28.4,3.15,71,-
"Armon Binns",WR,9/8/1989,29.5,"9 1/2","32 1/2",Cincinnati,"6' 3""",26.1,Undrafted,75,-
"Arrelious Benn",WR,6/20/1989,29.8,"7 7/8","33 7/8","Coastal Carolina","6' 2""",23.2,Undrafted,74,-
"Artavis Scott",WR,10/12/1994,24.4,"9 3/8","31 3/8",Clemson,"5' 10""",27.7,Undrafted,70,"Los Angeles Chargers"
"Ashton Dulin",WR,5/17/1997,21.8,"9    ","33 3/8",Malone,"6' 1""",28.4,-,73,-
"Auden Tate",WR,2/3/1997,22.1,"9 3/8","33 3/4","Florida State","6' 5""",27.0,7.35,77,"Cincinnati Bengals"
"Austin Carr",WR,12/25/1993,25.2,"9    ","30    ",Northwestern,"6' 0""",27.4,Undrafted,72,"New Orleans Saints"
"Austin Collie",WR,11/11/1985,33.4,"9    ","31    ","Brigham Young","6' 0""",27.1,4.27,72,-
"Austin Duke",WR,8/3/1993,25.6,"8 5/8","28 5/8",Charlotte,"5' 9""",25.1,Undrafted,69,-
"Austin Franklin",WR,12/6/1992,26.3,"10    ","31 1/4","New Mexico State","5' 11""",26.4,Undrafted,71,-
"Austin Hill",WR,7/17/1991,27.7,"9 1/8","31 5/8",Arizona,"6' 2""",27.0,Undrafted,74,-
"Austin Pettis",WR,2/8/1988,31.1,"9 3/4","31 3/4","Boise State","6' 3""",26.1,3.14,75,-
"Austin Proehl",WR,10/11/1995,23.4,"8 1/2","28 7/8",UNC,"5' 9""",26.9,7.37,69,"Los Angeles Rams"
"Austin Willis",WR,4/13/1992,26.9,"9 3/8","29 3/8","Emporia State","5' 9""",26.0,Undrafted,69,-
"B.J. Cunningham",WR,5/29/1989,29.8,"8 1/8","33    ","Michigan State","6' 1""",28.4,6.13,73,-
"Ben Edwards",WR,4/11/1992,26.9,"8 1/4","29 3/4",Richmond,"5' 10""",28.3,Undrafted,70,-
"Bennie Fowler",WR,6/10/1991,27.8,"9 1/2","32    ","Michigan State","6' 1""",28.6,Undrafted,73,"New York Giants"
"Bernard Reedy",WR,12/31/1991,27.2,"9 1/8","30    ",Toledo,"5' 9""",25.8,Undrafted,69,-
"Blake Jackson",WR,3/7/1994,25.0,-,-,"M. Hardin-Baylor","5' 11""",28.6,Undrafted,71,"Cleveland Browns"
"Bobo Wilson",WR,1/25/1995,24.2,"9 3/8","31 3/8","Florida State","5' 9""",27.9,Undrafted,69,"Tampa Bay Buccaneers"
