"Full Name",Position,"Draft Year",Weight,"40-Yard Dash","Broad Jump","Vertical Jump","Bench Press","3-Cone Drill","20-Yard Shuttle","Breakout Age","College Dominator Rating"
"A.J. Brown",WR,2019,"226 lbs",4.49,120,36.5,19,-,-,20.2,32.6%
"A.J. Green",WR,2011,"211 lbs",4.50,126,34.5,18,6.91,4.21,20.1,42.2%
"A.J. Jenkins",WR,2012,"192 lbs",4.39,124,38.5,12,6.73,4.12,20.9,55.2%
"A.J. Richardson",WR,2019,-,-,-,-,-,-,-,-,23.8%
"Aaron Burbridge",WR,2016,"206 lbs",4.56,115,30.5,20,7.22,4.31,21.7,32.6%
"Aaron Dobson",WR,2013,"210 lbs",4.42,121,35.0,16,7.19,4.33,18.1,26.1%
"Aaron Mellette",WR,2013,"217 lbs",4.54,123,33.5,9,7.11,4.41,20.7,54.8%
"Ace Sanders",WR,2013,"173 lbs",4.58,117,32.0,7,6.81,4.37,20.8,24.1%
"Adam Humphries",WR,2015,"195 lbs",4.58,122,32.5,14,6.96,4.32,-,9.4%
"Adam Thielen",WR,2013,"200 lbs",4.54,120,36.0,-,6.77,4.49,20.0,45.9%
"Adrian Coxson",WR,2015,"215 lbs",4.51,111,32.0,15,7.03,4.40,21.1,45.2%
"Ahmad Fulwood",WR,2017,"202 lbs",4.56,124,34.5,-,7.29,4.38,-,6.2%
"Alan Bonner",WR,2013,"193 lbs",4.59,117,33.0,14,7.04,4.09,20.8,37.6%
"Albert Wilson",WR,2014,"202 lbs",4.43,123,37.5,10,7.00,4.21,20.2,59.9%
"Aldrick Robinson",WR,2011,"184 lbs",4.43,126,40.0,17,6.65,4.09,19.8,40.2%
"Alex Erickson",WR,2016,"195 lbs",4.59,116,34.5,14,6.68,4.10,21.8,27.9%
"Alex Neutz",WR,2014,"214 lbs",4.63,117,33.0,14,7.14,4.33,19.5,49.7%
"Alex Wesley",WR,2019,"190 lbs",4.45,125,38.5,13,7.40,4.44,-,34.6%
"Allen Hurns",WR,2014,"205 lbs",4.55,120,31.0,14,7.23,4.50,19.8,28.8%
"Allen Lazard",WR,2018,"225 lbs",4.55,122,38.0,17,7.11,4.33,19.7,33.1%
