"Full Name",Position,"20-Yard Shuttle","3-Cone Drill","40-Yard Dash","Broad Jump","Vertical Jump","Bench Press"
"A.J. Brown",WR,4.25,7.00,4.49,120,36.5,19
"A.J. Green",WR,4.21,6.91,4.50,126,34.5,18
"A.J. Jenkins",WR,4.12,6.73,4.39,124,38.5,12
"A.J. Richardson",WR,4.44,7.12,4.62,110,33.5,11
"Aaron Burbridge",WR,4.31,7.22,4.56,115,30.5,20
"Aaron Dobson",WR,4.33,7.19,4.42,121,35.0,16
"Aaron Mellette",WR,4.41,7.11,4.54,123,33.5,9
"Ace Sanders",WR,4.37,6.81,4.58,117,32.0,7
"Adam Humphries",WR,4.32,6.96,4.58,122,32.5,14
"Adam Thielen",WR,4.49,6.77,4.54,120,36.0,-
"Adrian Coxson",WR,4.40,7.03,4.51,111,32.0,15
"Ahmad Fulwood",WR,4.38,7.29,4.56,124,34.5,-
"Alan Bonner",WR,4.09,7.04,4.59,117,33.0,14
"Albert Wilson",WR,4.21,7.00,4.43,123,37.5,10
"Aldrick Robinson",WR,4.09,6.65,4.43,126,40.0,17
"Alex Erickson",WR,4.10,6.68,4.59,116,34.5,14
"Alex Neutz",WR,4.33,7.14,4.63,117,33.0,14
"Alex Wesley",WR,4.44,7.40,4.45,125,38.5,13
"Allen Hurns",WR,4.50,7.23,4.55,120,31.0,14
"Allen Lazard",WR,4.33,7.11,4.55,122,38.0,17
"Allen Robinson",WR,4.00,7.00,4.56,127,39.0,17
"Allenzae Staggers",WR,4.35,7.25,4.58,127,36.0,9
"Alonzo Moore",WR,4.17,6.79,4.52,119,32.0,-
"Alonzo Russell",WR,4.33,7.18,4.54,112,29.5,12
"Alshon Jeffery",WR,4.17,6.71,4.53,122,36.5,18
"Amara Darboh",WR,4.30,6.81,4.45,124,36.0,17
"Amari Cooper",WR,3.98,6.71,4.42,120,33.0,-
"Amba Etta-Tawo",WR,4.32,6.95,4.49,126,31.0,14
"Anas Hasic",WR,4.34,7.03,4.50,121,35.5,30
"Andre Caldwell",WR,4.11,6.75,4.37,124,33.0,18
"Andre Davis",WR,4.33,7.09,4.55,118,32.0,-
"Andre Debose",WR,4.09,6.93,4.49,123,37.5,12
"Andre Holmes",WR,4.31,6.69,4.53,130,35.0,11
"Andre Johnson",WR,4.10,6.81,4.40,132,39.0,17
"Andre Levrone",WR,4.37,7.02,4.57,121,34.0,18
"Andre Patton",WR,4.29,6.74,4.59,118,35.5,10
"Andre Roberts",WR,4.15,6.77,4.46,120,36.0,15
"Andrew Hawkins",WR,4.03,6.81,4.39,114,38.0,9
"Andy Cruse",WR,4.22,6.83,4.71,126,34.0,13
"Andy Isabella",WR,4.15,6.95,4.31,121,36.5,15
"Andy Jones",WR,4.35,6.97,4.60,133,41.5,11
"Anquan Boldin",WR,4.33,7.35,4.72,114,33.5,-
"Anthony Dable",WR,-,-,4.46,-,-,12
"Anthony Johnson",WR,-,7.12,4.60,122,32.5,18
"Anthony Miller",WR,4.26,6.65,4.55,125,39.0,22
"Anthony Ratliff-Williams",WR,4.38,6.90,4.62,126,35.0,14
"Anthony Warrum",WR,4.20,6.66,4.65,112,30.5,6
"Antoine Wesley",WR,4.26,7.07,4.73,117,37.0,6
"Antonio Brown",WR,4.18,6.98,4.56,105,33.5,13
"Antonio Callaway",WR,4.33,7.00,4.41,121,34.0,7
"Antwan Goodley",WR,4.38,7.19,4.44,127,35.0,7
"Antwane Grant",WR,4.39,7.09,4.78,123,34.5,26
"ArDarius Stewart",WR,-,-,4.49,124,34.0,-
"Armon Binns",WR,4.31,6.86,4.53,118,31.5,13
"Arrelious Benn",WR,4.52,6.93,4.53,123,35.0,7
"Artavis Scott",WR,4.49,7.19,4.61,116,31.0,13
"Ashton Dulin",WR,4.22,7.00,4.43,121,38.0,13
"Auden Tate",WR,4.58,7.37,4.68,112,31.0,-
"Austin Carr",WR,4.07,6.70,4.67,116,33.5,16
"Austin Collie",WR,4.07,6.78,4.63,120,34.0,17
"Austin Duke",WR,4.29,6.92,4.59,121,37.0,15
"Austin Franklin",WR,4.33,7.07,4.56,124,36.0,7
"Austin Hill",WR,4.11,6.72,4.64,121,36.5,17
"Austin Pettis",WR,3.88,6.68,4.61,120,33.5,14
"Austin Proehl",WR,4.07,6.75,-,113,34.0,11
"Austin Willis",WR,4.21,6.98,4.40,125,39.5,21
"B.J. Cunningham",WR,4.31,7.10,4.59,116,31.5,12
"Ben Edwards",WR,4.52,6.80,-,-,-,11
"Bennie Fowler",WR,4.18,7.06,4.52,126,36.0,18
"Bernard Reedy",WR,4.07,6.84,4.57,120,37.0,16
"Bobo Wilson",WR,-,-,4.57,-,-,10
"Bra'lon Cherry",WR,4.28,6.95,4.62,127,38.5,17
"Brad Smith",WR,4.33,7.01,4.46,128,39.5,-
"Bradley Marquez",WR,4.04,6.80,4.59,123,38.0,11
"Braelon Roberts",WR,4.70,7.44,4.57,112,32.5,4
"Brandin Cooks",WR,3.81,6.76,4.33,120,36.0,16
"Brandon Coleman",WR,4.51,7.33,4.56,113,32.5,21
"Brandon Gibson",WR,4.54,6.94,4.64,113,34.0,10
"Brandon LaFell",WR,4.23,6.81,4.58,115,36.0,11
"Brandon Lloyd",WR,-,-,4.62,-,36.0,-
"Brandon Marshall",WR,4.31,6.96,4.52,120,37.0,28
"Brandon Powell",WR,4.15,6.88,4.64,115,32.0,-
"Brandon Reilly",WR,4.18,6.77,4.52,120,32.0,18
"Brandon Shippen",WR,4.20,6.76,4.60,117,31.5,17
"Brandon Tate",WR,4.12,7.25,4.57,112,36.0,-
"Brandon Zylstra",WR,4.25,-,4.64,124,36.0,16
