"Full Name",Position,"Arm Length","Height (Inches)",BMI,"Draft Pick","Draft Year","Hand Size"
"A.J. Brown",WR,"32 7/8",72,30.6,2.19,2019,"9 3/4"
"A.J. Green",WR,"34 3/8",76,25.7,1.04,2011,"9 1/4"
"A.J. Jenkins",WR,"32 3/4",72,26.0,1.30,2012,"9 1/2"
"A.J. Richardson",WR,"30 1/8",71,28.2,Undrafted,2019,"9 1/2"
"Aaron Burbridge",WR,"31 5/8",72,27.9,6.38,2016,"8 1/4"
"Aaron Dobson",WR,"33    ",75,26.2,2.27,2013,"9    "
"Aaron Mellette",WR,"33 1/8",74,27.9,7.32,2013,"9 5/8"
"Ace Sanders",WR,"29 1/2",67,27.1,4.04,2013,"8 7/8"
"Adam Humphries",WR,"30    ",71,27.2,Undrafted,2015,"9 1/4"
"Adam Thielen",WR,-,75,25.0,Undrafted,2013,-
"Adrian Coxson",WR,"31 3/4",73,28.4,Undrafted,2015,"9 3/4"
"Ahmad Fulwood",WR,"32    ",76,24.6,Undrafted,2017,"9 1/4"
"Alan Bonner",WR,"30 1/4",70,27.7,6.27,2013,"9 3/8"
"Albert Wilson",WR,"30 3/8",69,29.8,Undrafted,2014,"9 1/8"
"Aldrick Robinson",WR,"29 1/2",70,26.4,6.13,2011,"8 3/4"
"Alex Erickson",WR,"30    ",72,26.4,Undrafted,2016,"9    "
"Alex Neutz",WR,"32 1/2",75,26.7,Undrafted,2014,"9 1/4"
"Alex Wesley",WR,"31 1/4",72,25.8,Undrafted,2019,"9    "
"Allen Hurns",WR,"32    ",73,27.0,Undrafted,2014,"9 1/4"
"Allen Lazard",WR,"32 1/4",75,28.1,Undrafted,2018,"9 3/4"
"Allen Robinson",WR,"32    ",74,28.2,2.29,2014,"9 1/2"
"Allenzae Staggers",WR,"31 7/8",72,24.5,Undrafted,2018,"8 7/8"
"Alonzo Moore",WR,"31 5/8",72,27.0,Undrafted,2017,"9 7/8"
"Alonzo Russell",WR,"33 7/8",76,25.1,Undrafted,2016,"9 1/2"
"Alshon Jeffery",WR,"33    ",75,27.0,2.13,2012,"10 1/4"
"Amara Darboh",WR,"32 5/8",74,27.5,3.42,2017,"9 7/8"
"Amari Cooper",WR,"31 1/2",73,27.8,1.04,2015,"10    "
"Amba Etta-Tawo",WR,"32    ",73,27.4,Undrafted,2017,"9 1/8"
"Anas Hasic",WR,"31    ",71,29.6,Undrafted,2017,"9 1/4"
"Andre Caldwell",WR,"32 1/4",72,27.1,3.34,2008,"9    "
"Andre Davis",WR,"33 1/4",73,27.0,Undrafted,2015,"9 1/4"
"Andre Debose",WR,"32 1/4",72,26.4,7.04,2015,"8 5/8"
"Andre Holmes",WR,"34    ",76,27.1,Undrafted,2011,"8 5/8"
"Andre Johnson",WR,"34    ",74,28.9,1.03,2003,"9 1/8"
"Andre Levrone",WR,"32    ",75,27.0,Undrafted,2018,"9 1/2"
"Andre Patton",WR,"31 7/8",74,25.4,Undrafted,2017,"9 3/4"
"Andre Roberts",WR,"31 1/2",71,27.2,3.24,2010,"9 1/2"
"Andrew Hawkins",WR,-,67,27.4,Undrafted,2011,-
"Andy Cruse",WR,-,75,26.5,Undrafted,2013,-
"Andy Isabella",WR,"29 3/4",69,27.8,2.30,2019,"8 3/8"
"Andy Jones",WR,"32    ",73,28.6,Undrafted,2016,"9 3/8"
"Anquan Boldin",WR,"30    ",73,29.0,2.22,2003,"9 7/8"
"Anthony Dable",WR,-,77,25.5,Undrafted,2016,-
"Anthony Johnson",WR,"31 3/8",74,26.8,Undrafted,2019,"9 3/8"
"Anthony Miller",WR,"31 5/8",71,28.0,2.19,2018,"10 5/8"
"Anthony Ratliff-Williams",WR,"30 3/4",72,27.8,Undrafted,2019,"9 1/2"
"Anthony Warrum",WR,"30 1/8",72,25.8,Undrafted,2017,"9    "
"Antoine Wesley",WR,"34    ",76,25.1,Undrafted,2019,"9 3/4"
"Antonio Brown",WR,"31    ",70,26.7,6.26,2010,"9    "
"Antonio Callaway",WR,"31 1/2",71,27.9,4.05,2018,"9 1/2"
